,Date,Dead,Injured,Location,Description,Perpetrators,Part of
23,February 6,40,122,"Moscow, Russia","February 2004 Moscow Metro bombing: A blast tore apart a metro train car in Moscow during the morning rush hour. The train was traveling between the Paveletskaya station and the Avtozavodskaya station around 8:40 am. The explosion occurred in the second car of the train, blowing out windows and causing metal pieces of the train to be strewn in all directions. The device had an explosive power of about 4–5 kg of TNT. The device was similar to that used in the commuter train attack in Yessentuki in 2003. Those who survived were forced to walk through the dark tunnel to exit the subway. At least forty people were killed and 122 injured. However, the death toll was expected to rise as many bodies had been torn apart during the explosion and were difficult to identify. Police believe that they have surveillance video of two of the perpetrators. The video shows two suspicious looking people boarding the train with briefcases. In addition to these two people, police had also identified one other suspect, also a woman. The main theory of investigators was that the blast was perpetrated by suicide bombers, probably the two women companions of the man caught on video. However, other theories, including the possibility that the bomb was set on time delay and placed in a briefcase, were also being considered. Police had released a photograph of the male suspect. On February 8, the case was transferred to the FSB, as officials felt that they were unlikely to find the suspect in Moscow. Instead, they were hoping to gain information from other regions. Although Russian officials believe that Chechen rebels were behind the attack, particularly terrorists affiliated with Abu al-Walid al-Ghalidi, Chechen leaders deny involvement. Some officials speculated that the attack had occurred in an attempt to disrupt the upcoming March elections. Putin vowed that this would not happen. There was also some speculation that there was a connection between al-Qaida and this incident. On March 1, several sources reported that a previously unknown terrorist group, known as Gazoton-Murdash (a Chechen group), claimed responsibility for the incident. A statement was received first on February 8, and then several times after that. Kavkaz-Tzentr did not publish the letter until it had been received three times along with a phone call. The leader of the group said that the attack was intended to commemorate the fourth anniversary of the killing of Chechen civilians by Russian soldiers who took control of Groznyy. Chechen authorities were unsure if the group was a valid organization and were attempting to ascertain the true identity of the group leader, Lom-Ali Chechensky, and determine if the claim of responsibility is accurate. On March 4, Izvestiya reported that the statement of Lom-Ali was actually a reaction to the reported killing of Ruslan Gelayev in Dagestan. The source stated that this claim of responsibility was only propaganda, used to deflect attention from the killing of Gelayev and as retaliation for Russian propaganda. On September 28, Officials announced that they believed Anzor Izhayev was responsible for the blast. They believe that he died in the attack. The suspicion was based on genetic tests.[1]",Riyadus-Salihiin,Second Chechen War
24,February 7,116,,"Manila, Philippines",2004 SuperFerry 14 bombing: 116 people lost their lives aboard SuperFerry 14 after it was bombed by the Al-Qaeda link Abu Sayyaf group inside Manila Bay on what is considered the worst terror attack on this nations history.,Abu Sayyaf,Moro Conflict
25,February 8,3,8,"Sawaryh, Iraq","Three people were killed and eight wounded in a bomb attack in the offices of the Iraqi deputy police chief in Sawaryah, 40 miles south of Baghdad. The homemade bomb is believed to have been planted by a night-shift security guard.[1]",Lone wolf,Iraq War
26,February 9,0,11,"Darnitsa, Ukraine","Two explosions occurred at the Darnitsa district court of Kiev, injuring eleven people, damaging the facade of the building, and knocking out the windows of nearby buildings. The explosive device was planted inside a toilet on the ground floor of the building and had an explosive power of 1.5 kg of TNT. This incident follows several threats directed at judges who work in the courthouse, which had been received in the days before the explosion. By February 12, eleven suspects had been detained in connection with the incident. Investigators were continuing to look into the incident.[1]",Russian Separatists,
27,February 10,55,67,"Baghdad, Iraq","A car bomb with approximately 250 kilos of explosives blew up at a police station as dozens of would-be recruits lined up to apply for jobs. An apparent suicide operation, carried out by a driver who detinated his truck as it passed by the station. Fifty-five people were killed and sixty-seven injured. It is unclear if the bomber is part of the mortality count.[1]",Islamist insurgents,Iraq War
28,February 12,6,13,"Kavrepalanchok District, Nepal",Maoist rebels from the Communist Party of Nepal-Maoists (CPN-M) hurled bombs at a passenger bus killing at least six people. The bus was carrying civilians as well as some soldiers to the Kavrepalanchok district.[1],Communist Party of Nepal,Nepalese Civil War
29,February 14,27,36+,"Fallujah, Iraq","Insurgents launched bold twin assaults on Iraqi security positions in Fallujah, sparking a battle with the police that left twenty-three policemen and four attackers dead and dozens injured. According to local police, about fifteen attackers stormed the police station with rocket-propelled grenades and automatic weapons.[1]",Islamist insurgents,Iraq War
30,February 14,1,3,"Baghdad, Iraq",One US civilian was killed and three others injured in an ambush attack on their car while traveling on the road between Babil and Baghdad. All four victims were Baptist ministers from the United States.[1],Islamist insurgents,Iraq War
31,February 15,7,2,"Basra, Iraq",Masked men jumped out of two vans in Basra and opened fire at a group of sidewalk alcohol venders. Some sources reported that some of the attackers were wearing police uniforms and may have been a part of the Basra police. At least seven people were killed in the attacks and two wounded. Alcohol shops are the frequent target of attacks in Iraq by extremists who feel the sale of alcohol is a violation of strict Islamic law.[1],Islamist insurgents,Iraq War
32,February 22,8 (+1),60,"Jerusalem, Israel","Liberty Bell Park bus bombing: A suicide bomber killed himself and eight others on a rush hour bus in Jerusalem, underlining the bitter arguments over the opening of an international court of justice on the legality of Israel's separation barrier. The al-Aqsa Brigades claimed responsibility for the attack and said the bombing was also a reprisal for the Israeli army's killing of fifteen Palestinians in Gaza two weeks earlier.[1]",Al-Aqsa Martyrs' Brigades,Second Intifada
33,February 23,10,45,"Baghdad, Iraq",A suicide bomber detonated an explosive-packed vehicle outside an Iraqi police station in a Kurdish neighborhood killing at least ten people and wounding forty-five others. This is the third blast since late January 2004 to target Kurds.[1],Islamist insurgents,Iraq War
34,February 23,2,4,"Mosul, Iraq",The Mosul chief of police was attacked at his home by four men with machine guns leading to several guards being wounded and the death of two of the attackers. The chief was not injured. This is the second attack on Mosul's police chief. He was attacked in the same manner more than two months before and sustained serious wounds then.[1],Islamist insurgents,Iraq War
35,February 26,6,7,"Achkhoy-Martan, Russia",An explosive device went off in a wooded area in the Achkhoy-Martan district of Chechnya. The blast occurred as the residents were returning home by lorry from picking wild leek. Six people were killed and seven others injured in the attack. An investigation had been opened.[1],Chechen Separatists,Second Chechen War
36,March 1,3,12,"Western Eritrea, Eritrea","Two bombs exploded at the Hashferai Hotel in Western Eritrea, killing three and injuring twelve. No group claimed the attack, although the regime in Asmara cast suspicion on groups supported by Sudan and Ethiopia, among them Eritrean Islamic Jihad, also known as the Islamic Salvation Movement. (EIJ), which is based in Sudan and aims to replace the present Eritrean government with Islamic rule. The site of the attack is just a few miles from the Eritrea-Sudan border.[1]",Eritrean Islamic Jihad (suspected),
37,March 1,1,2,"Batticola District, Sri Lanka",A United National Party candidate for the Batticola District in an upcoming election was gunned down yesterday in the first polls-related killing. The Liberation Tigers of Tamil Eelam (LTTE) is suspected in the attack; the candidate resisted an earlier warning from the group. Unidentified gunmen had attempted to shoot him Sunday night. A niece and nephew living in the same house were also attacked.[1],LTTE,Sri Lankan Civil War
38,March 2,65,320,"Baghdad, Iraq","2004 Ashura bombings in Iraq: A suicide attack occurred at a Shiite holy shrine in Baghdad, killing over sixty-five people and injuring at least 320 others. The attack occurred when three suicide bombers detonated their explosives simultaneously. Authorities are blaming this attack, and another on a Shiite shrine in the city of Karbala, on either groups associated with Al Qaeda or loyalists of Abu Mussab al-Zarqawi. The attacks come on one of the holiest days of the Shiite calendar and targeted Shiite pilgrims. Iraqi leaders, who were preparing to sign a new constitution, declared three days of national mourning and postponed signing the constitution until the mourning period was over.[1]",Jama'at al-Tawhid wal-Jihad (suspected),Iraq War
39,March 2,106,233,"Karbala, Iraq","2004 Ashura bombings in Iraq: At least 106 people were killed and over 233 injured in a suicide attack on the holy Shiite city of Karbala. At least four bombs detonated (some report up to nine bombs) by the Baghdad Gate in the city, where pilgrims had gathered outside the Shrine of Hussain. This attack came on the same day as another Shiite shrine was attacked in Baghdad and on one of the holiest Shiite holidays. Police suspect a group linked to Al Qaeda in Iraq or loyalists of Abu Musab al-Zarqawi of carrying out the attacks. The perpetrators used a combination of suicide bombs, mortar rounds and planted bombs.[1]",Jama'at al-Tawhid wal-Jihad (suspected),Iraq War
40,March 2,47,130,"Quetta, Pakistan",2004 Quetta Ashura massacre: At least forty-seven people were killed and 130 injured following an attack on a Shia Muslim parade in Quetta. All of the injured suffered bullet wounds. Two bodies were found that appeared to be those of bombers who had blown themselves up. The Shia were observing Ashoura. The bombs were reportedly from the group Lashkar-e-Jhangvi.[1],Lashkar-e-Jhangvi,Sectarianism in Pakistan
41,March 3,1,4,"Samarra, Iraq","Unknown gunmen attacked a convoy of Turkish trucks in Samarra. One Turkish driver was killed and two others were wounded in the attack. The perpetrators also completely burned two of the trucks, which belong to the International Highway Transport (TIR) company. The attack was probably perpetrated as a statement against foreigners in the area. Unknown attackers injured two Iraqi policemen when they fired a rocket-propelled grenade at their car in the city of Haijah (120 miles) north of Baghdad.[1]",Unknown,Iraq War
42,March 8,0,2,"Jerusalem, Israel",Dozens of ultra-Orthodox Jews attacked Arab taxi drivers with rocks in the Me'a Sharim neighborhood of Jerusalem. One driver was wounded and his car was damaged. The second driver was lightly hurt and sent to hospital.[1],Haredi Extremists,Second Intifada
43,March 9,1 (+1),6,"Istanbul, Turkey","March 9, 2004 attack on Istanbul restaurant: Two suicide bombers blew themselves up outside a Masonic lodge in the Kartal neighborhood of Istanbul, killing one person and injuring five others. Only one of the bombers died in the attack, the other was seriously wounded. The attackers began by firing shots with automatic weapons into the Masonic café, they then detonated their bombs at the entrance to the lodge. Witnesses claim that one of the bombers chanted ""Allahu Akbar"" (God is great) before detonating himself. This leads police to believe that the attackers may have been Islamic militants. There is no belief that this attack is connected to larger al Qaeda attacks in Istanbul in December 2003. By March 13, authorities had arrested fifteen people in connection with this attack, including two who had received military training in Afghanistan. CNN reports that the Abu Hafs al-Masri Brigade, the same group that claimed responsibility for the March 11 Madrid train bombings, also claimed responsibility for this incident. At least two of the attackers, Nihat Dogruel (who died in the attack) and Engin Vural (who was injured) had gone to Chechnya to fight after their training in Pakistan/Afghanistan.[1]",Al Qaeda-affiliate,
44,March 9,3,0,"Hillah, Iraq","Two US civilian workers and their Iraqi interpreter were shot dead when stopped by individuals disguised in Iraqi police uniforms at a fake checkpoint near Hillah. The perpetrators were later intercepted by Polish troops, who found the victims' bodies in the car.[1]",Islamist insurgents,Iraq War
45,March 10,0,6,"Rawalpindi, Pakistan",Six people were injured when a bomb went off in Rawalpindi. The blast occurred outside of Tasvir Cinema.[1],Unknown,
46,March 11,191,"2,050 [6]","Madrid, Spain","2004 Madrid train bombings: 191 people were killed and over 2,000 others were wounded when ten bombs detonated in Madrid on the train line. At least one of these bombs detonated at El Pozo, a small commuter station in Madrid. It is impossible to disaggregate the casualties from any of the blast sites because of poor reporting. The bombs were detonated by cell phones and were left in backpacks. At first the Spanish government blamed the separatist group, the Basque Fatherland and Freedom (ETA) for the attacks, but later the Abu Hafs al-Masri Brigade claimed responsibility on behalf of Al Qaeda. By the end of March 2004, authorities had arrested over twenty people in connection with the attack. The suspects hailed from Morocco, Pakistan, Syria and Spain. In their claim of responsibility, the Abu Hafs al-Masri Brigade says that Spain was targeted because of their cooperation with the US in the war in Iraq. In response to the attacks, the ruling Spanish party was defeated in elections mainly because they lied about those attacks(which took place four days after the incident) and the new Prime Minister vowed to remove Spanish troops from combat in Iraq. On April 3, as the police were closing in on four suspects, including Serjame ben Abdelmajid Fakhet, who they believe was the ringleader in this incident, the suspects blew themselves up in their apartment in Madrid. This blast also killed a police officer. One suspect managed to escape the apartment explosion, as he was taking out the trash at the time of the raid. Abdelmajid Bouchar escaped to Serbia, where he hid out until he was captured in August 2005.[1]",Moroccan Islamic Combatant Group (suspected),Islamic Terrorism in Europe
47,March 11,2,0,"Basra, Iraq","Gunmen killed two Iraqi women working as translators for the British army. The two women, sisters, were driving home in a taxi in Basra when gunmen stopped the vehicle and opened fire on them.[1]",Unknown,Iraq War
48,March 14,0,4,"Turhal, Turkey","Four Nationalist Action Party (MHP) members were injured when their election bus was fired upon by unknown perpetrators in Turhal, in Tokat Province. Authorities recovered twenty-two empty cartridges at the scene of the attack. This attack comes only a week before local elections are set to take place all over Turkey.[1]",Unknown,
49,March 14,10 (+2),30,"Ashdod, Israel","2004 Ashdod Port bombings: Ten Israeli civilians and two Palestinians suicide-bombers were killed when they blew themselves up at the southern port of Ashdod. One bomb went off at a citrus fruit packaging factory and the other at an office just outside the perimeter of the port. A cache of grenades was found later hidden in a bag with a false bottom. Hamas and the al-Aqsa Martyr Brigades claimed joint responsibility for the blasts, stating they were in retaliation for recent members deaths in Jenin.[1]",Hamas,Second Intifada
50,March 15,0,1,"South Island, Philippines","One woman was injured when an explosive device, which had been rigged onto a tricycle and left outside a courthouse, detonated on a southern Philippine island. The attack took place at the same time several Abu Sayyaf Group (ASG) members were to be arraigned on Jolo Island for various charges. Authorities are blaming this incident on the ASG, though the group has not claimed responsibility.[1]",Abu Sayyaf (suspected),Moro conflict
51,March 15,2,1,"Kirkuk, Iraq","Unknown attackers assassinated Akkar Nazal al-Someideh, the leader of Kirkuk's Arab community. He was shot dead on his way to work. One of his bodyguards was killed and another seriously wounded.[1]",Unknown,Iraq War
52,March 18,2,2,"Basra, Iraq",Two people were killed in a car bomb attack targeting a hotel in Basra. Two others were lightly wounded. After the explosion a crowd seized a man who was suspect and beat him to death.[1],Islamist insurgents,Iraq War
53,March 18,3,10,"Baguba, Iraq",Three people were killed and ten others were wounded in Baquba when gunmen opened fire on a bus transporting the crew of an Iraqi television station funded by the US-led coalition.[1],Islamist insurgents,Iraq War
54,March 18,7,35,"Baghdad, Iraq","Seven people were killed and thirty-five wounded when a powerful car bomb packed with 1,000 pounds of explosives destroyed the Mount Lebanon Hotel, which housing foreigners in Baghdad just days ahead of the anniversary of the US-led invasion of Iraq. One of the victims killed was a British citizen. No group claimed responsibility, but authorities believe that either Al Qaeda, Ansar al-Islam or Abu Musab al-Zarqawi's group, Tawid and Jihad, were responsible.[1]",Jama'at al-Tawhid wal-Jihad (suspected),Iraq War
55,March 19,2,3,"Achkhoy-Martan, Russia",Three utility workers were wounded when they were ambushed by Chechen rebels. The workers were employed under contract in the Achkhoy-Martan district to work on restoration of the Chechen power grid. The rebels opened fire using grenade launchers on the cars carrying the utility workers. Two police officers were killed when they arrived at the scene to help the utility workers.[1],Chechen Separatists,Second Chechen War
56,March 19,1,0,"Jerusalem, Israel",French Hill attacks: An Israeli student was shot and killed in the French Hill section of east Jerusalem in an attack claimed by the Al-Aqsa Martyrs' Brigades.[1],Al-Aqsa Martyrs' Brigades,Second Intifada
57,March 22,0,6,"Jaffa, Israel",Three people were lightly wounded by an Arab youth in a knife attack on a bus in Jaffa. Israeli investigators believe the attack was probably in retaliation to the killing of Hamas leader Sheikh Ahmed Yassin. The attacker fled. Earlier three Israelis were attacked and wounded by a Palestinian wielding an axe in Ramat Gan. This was also in retaliation for the assassination of Yassin.[1],Hamas,Second Intifada
58,March 27,0,28,"Sungai Kolok, Thailand","An explosive device detonated in a karaoke bar in the town of Sungai Kolok along the Malaysian border, in Narathiwat Province. The blast injured at least twenty-eight people, but caused no deaths. Eight of the injured were Malaysian tourists visiting the area. This is the latest attack in an upswing in violence since January. Authorities have blamed most of these attacks on Muslim separatists.[1]",Pattani separatists,South Thailand Insurgency
59,March 27,2,19,"Mosul, Iraq","Two civilians were killed and nineteen people, including two policemen were wounded when unidentified assailants fired Katyusha rockets at the provincial governor's office in Mosul. Nineveh Governor al-Basso was not there at the time.[1]",Unknown,Iraq War
60,March 30,3,10,"La Paz, Bolivia","Eustaquio Picachuri, a miner, detonated a bomb strapped to his body while he was inside the National Congress building. In addition to Picachuri, two security officers were killed and ten people were injured. Reports indicated that Picachuri arrived at the congress building demanding payment for his backed salary. He then detonated the explosives while two security guards tried to reason with him. A spokesman for the miner's said that they had decided to adopt several measures to exert pressure on the government but the Picachuri acted on a person decision.[1]",Eustaquio Picachuri,
61,March 30,3,10,"Hillah, Iraq",A suicide bomber blew up explosives in his car outside the house of a police chief in Hillah killing himself and wounding seven others. This is the same area where another police chief was shot and killed a week before and nine police recruits died when assailants sprayed their minibus with small-arms fire.[1],Islamist insurgents,Iraq War
62,March 31,4,0,"Fallujah, Iraq",2004 Fallujah ambush: Four Blackwater USA contractors were dragged from their car and killed.,Islamists,Iraq War
63,April 3,1,2,"Dhading District, Nepal",An office employee was killed and other injured when a bomb went off at the District Education Office in Dhading district. The Communist Party of Nepal-Maoists (CPN-M) is responsible for the attack.[1],Communist Party of Nepal,Nepalese Civil War
64,April 6,2,7,"Nazran-Magas Highway, Russia","A suicide bomber blew up his car on the Nazran-Magas Highway in an attempt on the life of Ingushetian President Murat Zyazikiv. The bomber attempted to penetrate the president's motorcade and then exploded the vehicle, damaging the president's armored car. The explosive device was believed to be equivalent to 100 kg of TNT. The president was slightly injured in the attack. Four of his bodyguards and two local residents were also injured and hospitalized. The president blamed the attack on those who wished to destabilize the region. Officials also speculated that the attack may be linked to Chechen separatist groups. Investigators had detained several people that they suspected were involved in the attack. On April 12, Kavkaz-Tsentr News Agency reported that the Islamic Brigade Ryiad us-Salikheen (Black Widows) claimed responsibility for the attack.[1]",Riyadus-Salihiin,Second Chechen War
65,April 8,9,50,"Uri, India","Militants detonated a bomb that killed nine and injured about fifty others, including two elected officials. The incident occurred at a People's Democratic Party election rally at Uri. Party Chief Mehbooba Mufti was addressing the audience when the explosion took place. The Save Kashmir Movement later claimed responsibility for the blast.[1]",Save Kashmir Movement,Insurgency in Jammu and Kashmir
66,April 12,26,,"Jharkhand, India","Naxalites (Maoist guerrillas) triggered a landmine that killed at least twenty-six policemen in Jharkhand. Naxalites of the outlawed People's War Group (PWG) are suspected of being involved in the attack. The PWG typically target rich landowners and police, who they accuse of colluding to exploit farmers and rural laborers.[1]",People's War Group,Naxalite–Maoist insurgency
67,April 14,7,0,Afghanistan,"The Taliban executed seven Afghans, including two children and three officials, after they voiced support for President Hamid Karzai. The people were traveling in a vehicle, when they were stopped by five men dressed a government forces. They asked if the travelers if they supported the president of Karzai, and they said yes. The unsuspecting passengers were killed on the spot.[1]",Taliban,War in Afghanistan
68,April 15,10,19,"Kandahar, Afghanistan",A police chief and nine of his boduguards were killed by Taliban fighters as they were traveling through Kandahar's Chinarto district. The general area of the attacks – Zabul – is considered a stronghold of the Taliban.[1],Taliban,War in Afghanistan
69,April 17,1,4,"Erez, Israel",The armed wings of Hamas and al Fatah claimed responsibility for a suicide bomb at Erez Crossing on the borders of Gaza and Israel during which four Israelis were wounded.[1],Hamas  Fatah,Second Intifada
70,April 18,10,4,"Herat, Afghanistan","Three people were killed in an attack on the Herat-Kandahar Highway. Ten, including policemen and custom staff, were killed and four others were injured, when unidentified men opened fire on a security checkpoint in Delaram, on the main highway. Police suspect the Hizbul-i-Islami (Islamic Party) is responsible for the attack.[1]",Hizbul-i-Islami,War in Afghanistan
71,April 20,1,13,"Jammu, India",A policeman was killed in Jammu and thirteen wounded in an attack during parliamentary voting. Muslim militants and leftist guerrillas warned voters to stay from the polls and threatened violence on election day.[1],Islamic or Communist extremists,Insurgency in Jammu and Kashmir
72,April 20,0,3,"Nitzanit, Gaza",Three Israelis were injured by one of a series of Qassam rocket attacks following the assassination of Hamas leader Abdel Aziz al-Rantisi. The rocket hit a house in the Nitzanit settlement. This occurred after another settler in Nitzanit was injured when a rocket hit his house. The attacks followed the firing of up to nine rockets in a surge of settlement attacks in Gaza and the Negev. Three of these attacks were later claimed by Islamic Jihad.[1],Islamic Jihad,Second Intifada
73,April 21,5,148,"Riyadh, Saudi Arabia","Five people were killed and 148 injured when a suicide bomber drove an explosives-packed car into a barrier outside the national police headquarters in Riyadh. The attack took place 30 minutes before a scheduled meeting between US Deputy Secretary of State Armitage and Saudi Foreign Minister Saud al-Faisal. Their meeting place is close to police headquarters where the attack occurred. No group claimed responsibility, though authorities believe it may have been perpetrated by Al Qaeda.[1]",Al Qaeda in the Arabian Peninsula (suspected),
74,April 21,73,200,"Basra, Iraq","21 April 2004 Basra bombings: Suicide attackers detonated five simultaneous car bombs against police buildings during morning rush hour killing sixty-eight people and wounding up to 200 people. Five of the injured died overnight from their wounds bringing the death toll up to seventy-three. These are the largest attacks to hit Basra, a mainly Shiite city, since the US-led occupation began one year ago.[1]",Islamist insurgents,Iraq War
75,April 25,4,45,"Kashmir, India","Suspected Muslim militants threw a grenade at a convoy carrying a state lawmaker as she was leaving a rally in the Anantnaga district. Though People's Democratic Party (PDP) member Mehbooba Mufti was uninjured, though four people were killed and forty-five were wounded in the attack. Radicals have warned people to stay away from the elections and voting.[1]",Islamic extremists,Insurgency in Jammu and Kashmir
76,April 27,6,0,"Basra, Iraq","A statement purporting to be from Abu Musab al-Zarqawi, a terrorist linked to al-Qaeda, claimed responsibility for a boat attack on the Basra oil terminal. Three US Navy sailors died as a result of the attack, in which bombers in three boats blew themselves up in and around the terminal.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
77,April 27,4,6,"Punjwai District, Afghanistan","Four people were killed and six wounded in a suspected Taliban attack. A group of seventy people allegedly attacked the Punjwai district building, burned down the Coordination of Humanitarian Aid agency (a charity organization) – killing four there – and also burned three vehicles. Police guarding the building became involved in the skirmish.[1]",Taliban (suspected),War in Afghanistan
