,Date,Dead,Injured,Location,Details,Perpetrator,Part of
26,July 5,15 (+2),60+,Russia,2003 Tushino bombing: Two female suicide bombers detonated during a rock festival at Tushino Airfield.,Riyad-us Saliheen,Second Chechen War
27,July 8,1 (+1),3,Israel,"A Palestinian suicide bomber detonated his explosives inside the home of Mazal Afari, 65, a resident of Moshav Kfar Yavetz, east of Netanya, Israel, killing her and three of her grandchildren were lightly injured, the bombing caused the house to collapse.[1]",Hamas (suspected),Second Intifada
28,July 21,1,0,Israel,Murder of Oleg Shaichat: Two Israeli Arabs kidnapped and killed IDF soldier Oleg Shaichat.,Islamists,Second Intifada
29,July 28,4,32,India,2003 Mumbai bus bombing: A bomb exploded on a B.E.S.T. bus in Mumbai.,Unknown,
30,August 5,12 (+1),150,Indonesia,2003 Marriott Hotel bombing: Suicide car bombing of the Marriott hotel in Jakarta.,Jemaah Islamiyah  Al-Qaeda,
31,August 7,17,40,Iraq,2003 Jordanian embassy bombing in Baghdad: Truck bombing of the Jordanian embassy in Baghdad. No group claimed responsibility but Jama'at al-Tawhid wal-Jihad is strongly suspected.,Jama'at al-Tawhid wal-Jihad (suspected),Iraq War
32,August 10/14,3,0,United States,"2003 West Virginia sniper: Three people were killed in a series of sniper shootings in West Virginia. Eight years after the shootings, a suspect named Shawn Lester was arrested and was eventually convicted and sentenced to 46 years in prison for the shootings.",Shawn Lester,Terrorism in the United States
33,August 13,2 (+2),12,Israel,"Two Palestinian suicide bombers blew themselves up in almost simultaneous attacks, in the Israeli towns of Rosh Ha'ayin and Ariel.[1]",Palestinians,Second Intifada
34,August 13,2,4,Serbia and Montenegro,2003 Goraždevac murders: Kosovo Albanian extremists opened fire on Serbian teenagers in Goraždevac killing 2 people.,Kosovo Albanian extremists,
35,August 19,23 (+1),130+,Israel,"Shmuel HaNavi bus bombing: Hamas suicide bomber detonated on a Jerusalem bus killing 23 people, including a pregnant woman and several children.",Hamas,Second Intifada
36,August 24,6,28,Colombia,Six people were killed and 28 were wounded when a bomb exploded in a riverboat in the town of Puerto Rico. Rebel group FARC is blamed.[10],FARC,Colombian conflict
37,August 25,52,244,India,25 August 2003 Mumbai bombings: Double car bombing of the Gateway of India and jewelry market Zaveri Bazaar in Mumbai by Lashkar-e-Taiba operatives.,Lashkar-e-Taiba,
38,August 28,0,0,United States,"Two sophisticated homemade bombs exploded approximately one hour apart, at the Chiron Corporation in Emeryville, California, causing minor property damage but no injury. Other explosive devices were discovered and defused for the authorities.[11] The FBI believes the second bomb was timed to target first responders.[12][13]",Revolutionary Cells – Animal Liberation Brigade,Terrorism in the United States
39,August 29,95,500+,Iraq,Imam Ali mosque bombing: Double car bombing of the Shia Imam Ali mosque.,Jama'at al-Tawhid wal-Jihad,Iraq War
40,September 9,16 (+2),65+,Israel,"Tzrifin bus stop attack, Café Hillel bombing: Two Palestinian suicide bombings, the first at a crowded bus stop near Tel Aviv, the second five hours later at a popular Jerusalem nightspot. Among the victims of the bombings was the head of a Jerusalem hospital emergency room and his 20-year-old daughter who was going to get married later that evening.[1]",Hamas,Second Intifada
41,September 11,8,15,Colombia,"A bomb strapped to a horse kills eight and injures 15 in the village of Chita. The attack is blamed on FARC, as the same technique had been used in the past.[14]",FARC,Colombian conflict
42,September 29,10,54,Colombia,"A motorcycle packed with explosives kills ten and injures 54 in downtown Florencia, capital of Caquetá. Rebel group FARC is blamed.[15]",FARC,Colombian conflict
43,October 4,21 (+1),51,Israel,"Maxim restaurant suicide bombing: Hanadi Jaradat, a female Islamic Jihad bomber, blows herself up at a restaurant in Haifa.",Islamic Jihad  Hanadi Jaradat,Second Intifada
44,October 8,6,11,Colombia,A car bomb kills six and injures eleven in downtown Bogotá. FARC is blamed.[16],FARC,Colombian conflict
45,October 27,35 (+4),244 (+1),Iraq,2003 Baghdad bombings: Suicide bombings targeting a Red Cross compound and three police stations. A fourth police station was also targeted but the bomber's explosives failed to detonate and he was wounded and arrested by police.,Jama'at al-Tawhid wal-Jihad,Iraq War
46,November 8,17 (+1),122,"Riyadh, Saudi Arabia","Riyadh compound bombings: A suicide car bomber targeted the Muhaya residential compound, which was occupied mainly by nationals of other Arab countries. The next day, Deputy Secretary of State Armitage said al-Qaeda was probably responsible.[7]",Al Qaeda in the Arabian Peninsula (suspected),
47,November 15/20,57,700+,"Istanbul, Turkey","2003 Istanbul bombings: Two Istanbul synagogues, Bet Israel and Neve Shalom were hit with truck bombs on November 15. Five days later, the headquarters of the HSBC Bank of Turkey and the British consulate of Istanbul were also bombed.",Jama'at al-Tawhid wal-Jihad,
48,December 5,46 (+1),170+,Russia,2003 Stavropol train bombing: A train traveling through Stavropol Krai was destroyed by a suicide bomber.,Riyadus-Salihiin,Second Chechen War
49,December 8,2,0,United States,"2003 Abbeville right-of-way standoff: Two police officers were killed in 14-hour shootout and standoff with three self-proclaimed ""sovereign citizens"" in Abbeville, South Carolina.","Arthur, Rita and Steven Bixby",
50,December 9,6 (+1),14,Russia,2003 Red Square bombing: A female suicide bomber blew herself up in the Red Square near the Kremlin.,Riyadus-Salihiin,Second Chechen War
51,December 25,4 (+1),16,Israel,"Geha Interchange bus stop bombing: A Palestinian suicide bomber, a member of the Popular Front for the Liberation of Palestine (PFLP) blew himself up at a bus stop under the Geha Bridge in Tel Aviv, Israel.[1]",PFLP,Second Intifada
52,December 25,14 (+2),50,Pakistan,"Two suicide truck bombers killed 14 persons as President Musharraf's motorcade passed through Rawalpindi, Pakistan. An earlier attempt on December 14 caused no casualties. Pakistani officials suspected Afghan and Kashmiri militants.[7]",JeM,
53,December 27,0,0,"Bologna, Italy","The European Commission President Romano Prodi escaped unhurt after a parcel bomb detonate partially, but no blasts, and an anarchist group claimed the attack. This action, which was followed by the sending of other incendiary envelopes to the headquarters of Europol and Eurojust, to the president of the European Central Bank and to several MEPs[17][18]",Federazione Anarchia Informale,Terrorism in Italy
54,December 27,17 (+4),200+,Iraq,"2003 Karbala bombings: Suicide bombings targeting Bulgarian, Thai and Iraqi barracks.",Jama'at al-Tawhid wal-Jihad,Iraq War
55,December 29,5 (+1),0,Afghanistan,"A suicide bomber detonated when he was detained by five Afghan security officers, killing all five officers.[9]",Taliban,War in Afghanistan
56,December 31,10,45,Indonesia,2003 Aceh New Year's Eve bombing: A New Year's Eve concert in Aceh were bombed by suspected Aceh separatists.,Free Aceh Movement,Insurgency in Aceh
