,Date,Type,Dead,Injured,Location,Description,Perpetrator,State,Non-state
45,May 20,Shooting,2 (+2),2,"West Memphis, United States","Two police officers in West Memphis, Arkansas were shot and killed during a traffic stop on May 20, 2010. Police identified and killed two suspects, identified as Jerry Kane, Jr., and his son, Joseph Kane. see:2010 West Memphis police shootings.[50]",,,
46,May 23,Defensive fighting,2,0,"Chechnya, Russia","Two terrorist militants are found disillusioned in a Woods near Serzhen-Yurt, in the Shali district of Chechnya. The militants refused to surrender and put up armed resistance, opening fire on law enforcement officers.[51]",,,
47,May 26,Bombing,8,42,"Stavropol, Russia","A bomb explosion occurred inside a cafeteria, in the center of the city of Stavropol within southern Russia.[52]",,,
48,May 28,"Grenades, Shooting",94,120+,"Lahore, Pakistan","This terrorist attack took place on May 28, on two Ahmadi mosques simultaneously.",,,
49,May 30,Offensive and defensive fighting,6,3,"Şırnak Province, Siirt Province, Antakya, Turkey",PKK rebels launched a series of attacks against security forces and village guardsmen within three Turkish provinces.[53],,,
50,May 31,Suicide car bombing,19,23,"Khost Province, Afghanistan",A suicide car bomber struck an Afghan military building in Khost Province killing 19 and wounded 23.[54],,,
51,June 2,Offensive fighting,1,3,"Hakkari Province, Turkey","PKK militants clashed with Turkish soldiers near the town of Cukurca, within the Hakkari Province, in the south-east of the country.[55]",,,
52,June 8,Bombing,0,15,"Istanbul, Turkey",A bomb attack injured 15 policemen. The attack was claimed by TAK.[56],,,
53,June 9,Suicide bombing,2,5,"Diyala, Iraq","A suicide bomber on a motorcycle blew himself up near a U.S. military vehicle, in the central Iraqi province of Diyala.[57]",,,
54,June 11,Fighting,0,2,"Jerusalem, Israel","A Palestinian militant attempted to run over two border policemen in the Wadi Joz neighborhood, close to the Old City Walls. Other members of the border police force that were at the scene shot and critically wounded the driver as he tried to escape. The two policemen were lightly injured and received medical treatment on the spot.[58]",,,
55,June 11,Bombing,4,20,"Lakhdaria, Algeria",A truck bomb exploded next to a police roadblock in city of Lakhdaria. The bombing killed four and wounded 20 people and police.[59],,,
56,June 14,Fighting,1,3,"Hebron, West Bank","Al Fawar Junction, south of Hebron, West Bank Command Sgt.Maj. Yehoshua (Shuki) Sofer 39, of Beersheba, was killed and three policemen wounded when Palestinian militants opened fire on their vehicle on route 60.[60]",,,
57,June 15,Bombing,1,3,"Sirnak Province, Turkey","A bomb explosion targeting Turkish military personnel, occurred within the Sirnak Province of eastern Turkey.[61]",,,
58,June 19,Offensive fighting/ rescue,13,12,"Aden, Yemen","Gunmen opened fire at the Yemeni security service HQ and stormed into the complex, releasing several prisoners in the city of Aden, as well as killing thirteen people and wounded a dozen others in the process.[62]",,,
59,June 19,Offensive fighting,10,14,"Semdinli, Turkey",PKK rebels killed ten Turkish soldiers in an attack in the city of Semdinli.[63],,,
60,June 22,Bombing,5,12,"Istanbul, Turkey",A bomb explosion occurred next to a military bus carrying Turkish soldiers and their relatives in Turkey's largest city of Istanbul. PKK militants are being suspected for carrying out this latest attack.[64],,,
61,June 24,Bombing,1,0,"Athens, Greece",A bomb explosion occurred near to the offices of Greece's public order ministry within the Greek capital city of Athens.[65],,,
62,June 25,Offensive fighting,3,5,"Elazig Province, Turkey","PKK militants assaulted a group of villagers who were on their way home, killing and wounding both Turkish soldiers and civilians in the process.[66]",,,
63,June 27,Car bombing,1,5,"Bugojno, Bosnia and Herzegovina",A police officer was killed and five officers injured after a car bomb exploded inside a police headquarters in Bugojno. At 05:00(CET) when over 25 police officer was inside the building when the bomb exploded.[67],,,
64,July 1,Suicide bombing,50,200+,"Lahore, Pakistan",Two suicide bombers blew themselves up in Lahore.[68],,,
65,July 2,Bombing,1,11,"Kosovska Mitrovica, Serbia",A bomb exploded during a demonstration against the opening of a government office in the Serbian enclave in the North of Mitrovica. The dead man was a Bosniak who lived in the Bosnian Mahal.[69],,,
66,July 5,Assassination attempt,0,1,"Kosovska Mitrovica, Serbia","A Serbian politician, named Petar Miletic, who is an elected Mp for Serbs in Kosovo was shot 4 times on the leg outside his apartment in Northern Mitrovica. He may have been shot because he is one of the few Serbs who collaborate with Kosovan institutions.[70]",,,
67,July 7,Suicide bombing,70+,400+,"Baghdad, Iraq",A suicide bomber killed more than 70 people and some 400 have been wounded in bomb attacks on Shia pilgrims converging on a shrine in northern Baghdad.[71],,,
68,July 9,Suicide bombing,105,120+,"Mohmand Agency, Pakistan",A suicide bomb attack at a tribal meeting killed at least 104 people and wounded more than 120. This was the deadliest attack in the country so far in 2010.[72],,,
69,July 12,Bombing,74,70,"Kampala, Uganda",Several suicide bombings were carried out in Kampala around crowds watching the World Cup. July 2010 Kampala attacks[73],,,
70,July 13,Bombing,1,0,"Cipolletti, Rio Negro Province","In an incident labelled as a ""terrorist act"" by Interior Ministry, a home-made bomb exploded in a police academy school and killed a municipal employee. A second bomb was defused at the scene.[74]",,,
71,July 15,Suicide bombing,28,300+,"Zahedan, Sistan and Baluchistan Province, Iran","Two suicide bombers at Shi'ite mosque by Sunni–Baloch group Jundullah, whose leader was executed in 2010 in Tehran.[75]",,,
72,July 27,Suicide bombing (alleged),1,1,"Strait of Hormuz, Oman","A Japanese tanker was damaged in an explosion, one person was injured. Militant islamist Abdullah Azzam Brigades claimed one of its suicide bombers was responsible for the attack.[76]",,,
73,August 10,Attempted Bombing,0,0,"Edmonton, Canada","near 71st Street and 82nd Avenue in Edmonton, Alberta, Canada, police discovered an improvised explosive device (IED) hidden inside a package in the trunk of a Toyota Yaris vehicle. The car was pulled over because it was identified as a stolen vehicle and the driver and passenger, Elrond Lee Smith and Heath Sliter, were arrested by police during the traffic stop. A second similar IED was also discovered on Smith's body, who was charged among other things with possession of explosives. Both devices were safely neutralized by bomb sappers preventing any casualties or property damage from occurring. No group claimed responsibility and the authorities have not revealed the motive or intended target of the attempted bombing.[77]",,,
74,August 12,Car bombing (apparent),0,9,"Bogotá, Colombia","A suspected car bomb has exploded near the studios of a major radio station in the north of the Colombian capital, Bogota. Television pictures showed a bus with shattered windows and panicked residents in the streets following the explosion, which happened at around 0530 (1130 GMT), as the Caracol Radio morning show began.[78]",,,
75,August 14,Bombing,0,3,"Lurgan, Northern Ireland","Three children are injured when a ""no-warning"" bomb exploded in a bin, in what the PSNI claim was an attempt to ""kill police or injure police officers providing a service to this community as they responded to a neighbouring area following a very vague warning that a device had been left at a local school.""[79]",,,
76,August 17,Suicide bombing,3,3,"Vladikavkaz, North Ossetia, Russia",Two policeman were killed and three others injured by a suicide bomber.[80],,,
77,August 17,Suicide bombing,69+,170+,"Baghdad, Iraq",At least 69 people killed and more than 170 injured in a suicide attack on an army recruitment centre.[81],,,
78,August 25,Suicide bombings/Car bombings/IEDs,53+,270+,Iraq,"A series of suicide bombings, car bombings and IED attacks occurred across various cities and towns across the country of Iraq.[82]",,,
79,August 31,Fighting,4,0,"Kiryat Arba, West Bank, Israel","August 2010 West Bank shooting, 4 Israeli civilians, including a pregnant woman, were killed by Hamas militants while driving on route 60. Witnesses say the victims were gunned down in their seats. Israeli sources described the incident as one of the ""worst"" acts of terror in recent years by Palestinian militants.[83]",,,
80,September 1,Suicide bombing,38,250,"Lahore, Pakistan","Three bombings kill 25 and injure 170 in Lahore, Pakistan.[84]",,,
81,September 1,Fighting,0,2,"Kiryat Arba, West Bank, Israel",2 Israeli civilians were wounded after their vehicle came under fire by Palestinian militants while driving between Kokhav Ya'akov and Rimonim Junction.[85],,,
82,September 1,Hostage-taking,0 (+1),0,"Silver Spring, Maryland, United States","A lone gunman took three people hostage inside of the Discovery Communications headquarters in Silver Spring, Maryland. The gunman, James Jay Lee, was shot dead by a SWAT team after the hostages made a run to escape. The remaining hostages were immediately freed.[86] The National Consortium for the Study of Terrorism and Responses to Terrorism (START) at the University of Maryland labeled the crime a terrorist attack.[87]",,,
83,September 3,Suicide bombing,73+,200+,"Quetta, Pakistan",Two suicide bombings against a Shiite's Quds Day procession and an Ahmadi mosque kill several people.[88],,,
84,September 6,Car bombing (large),19,40+,"Khyber Pakhtunkhwa, Pakistan",Nineteen people died when a suicide bomber rammed an explosives-laden truck into a police station when there were many school children passing by. The Pakistani Taliban has claimed responsibility for the attack.[89],,,
85,September 10,Bombing (alleged),0,1,"Copenhagen, Denmark","In an incident suggested to be terror-related aimed at Danish newspaper Morgenavisen Jyllands-Posten's office in Aarhus,[90] a man of Chechnyan origin[91] allegedly caused an explosion in the basement of a Copenhagen hotel. After the unsuccessful attack, the perpetrator fled to the nearby Ørstedsparken, where he was caught by the Danish police. The police feared that the man had an undetonated bomb in his backpack and avoided coming near the man, until the detonation machine known as ""Rullemarie"", shot at the backpack to confirm that the content was harmless.[92]",,,
86,September 16,Bombing,12,3,"Hakkâri Province, Turkey","The attack occurred when a remote-controlled device explodes, on a minibus in the Turkish village of Gecitli in southeastern Hakkari near the borders with Iraq and Iran. 12 people have died, and another 3 were injured.[93]",,,
87,October 1,Bombing,12,17,"Abuja, Nigeria",Two car bombings in the capital city occurred during celebrations marking the 50th anniversary of the nation's independence.[94],,,
88,October 4,Bombing,0,2,"Derry, Northern Ireland","A carbomb left by the Real IRA explodes outside an Ulster Bank branch, injuring two police officers and causing extensive damage.[95]",,,
89,October 7,Offensive fighting,5,9,"Sanandaj, Iran","The gunmen connected to counter-revolutionary cells opened fire on a police petrol vehicle and pedestrians in the Azadi square of Sanandaj in Kurdistan Province, said police official Ebrahim Kazeminejad on Thursday.[96]",,,
90,October 19,Offensive fighting/Suicide bombing,6~20+,17~40+,"Grozny, Chechnya, Russia","Three suicide militant commandos attacked and stormed into the Chechen Parliament, killing police officers and employees, before detonating their explosive-belts in the capital city of Grozny, which is located within the southern Russian republic of Chechnya, of southern Russia.[97]",,,
91,October 29,Bombing attempt,0,0,"London, United Kingdom/Dubai, United Arab Emirates","Two packages, each containing a bomb consisting of  300 to 400 grams (11–14 oz) of plastic explosives and a detonating mechanism, were found on separate cargo planes. The bombs were discovered as a result of intelligence received from Saudi Arabia's security chief.  They were bound from Yemen to the United States, and were discovered at en route stop-overs, in London, UK and in Dubai in the United Arab Emirates.",,,
92,October 29,Suicide bombing,0,32,"Taksim Square, Istanbul, Turkey","The 2010 Istanbul bomb blast was a suicide bombing which took place on Taksim Square in Istanbul, Turkey on October 31, 2010 at 10:34.[98][99]",,,
93,November 11,"Bombing, offensive fighting",18,100+,"Karachi, Pakistan","A truck laden with explosives was blasted at the CID building killing at least 18 and injuring more than 100 in one of the most sensitive locations of Karachi, Pakistan. The blast was preceded by a gunfight between the militants and law enforcement officials.[100]",,,
94,December 11,"Car Bombing, Suicide bombing",1,2,"Stockholm, Sweden","Two explosions occurred in the capital city of Stockholm, one triggered by a car bomb and another suicide bomb which likely killed the assailant. The bombings have been linked to e-mail threats over Swedish involvement in the War in Afghanistan and the ongoing Muhammed cartoon controversy.[101]",,,
95,December 25,Suicide bombing,46,100+,"Bajaur Agency, Pakistan",A female suicide bomber blows herself up in the middle of a crowd at a United Nations food center in the Bajaur Agency region.[102],,,
96,December 28,Attack,Unknown,Unknown,"Durango, Mexico","An armed command of approximately 60 people attacked the site, burning all the houses, twenty-seven vehicles, two schools and local establishments.[103]",,,
