,Date,Dead,Injured,Location,Details
11,January 21,1,4,"Madrid, Spain","After the truce period which started in September 1998 and which the Basque Fatherland and Freedom (ETA) broke in December 1999, the Basque Fatherland and Freedom (ETA) reinitiated its attack campaign on 21 January 2000 in Madrid, killing Army Lieutenant Colonel, Pedro Antonio Blanco and injuring at least four others in a car bomb explosion. A spokesman for the Euskal Herritarrock (EH) – the platform set up by the Basque Fatherland and Freedom (ETA) – apologized for the death of Blanco but said that the responsibility ""falls on their perpetrators."" A second explosion followed this one about 45 minutes later. Note: On 8 March, ETA claimed responsibility for this attack. In their communiqué, ETA criticized the Basque Nationalist Party (PNV) and the Eusko Alkartasuna (EA) for having slowed down the peace process.[1]"
12,January 22,6,1+,Colombia,"Suspected FARC militants killed at least six civilians in Tenerife, Magdalena Department. The same day the grouo kidnap the businessman and journalist Guillermo Cortés ""La chiva"" on his farm in the municipality of Choachi Cundinamarca Department.[3]"
13,January 25,0,0,"Barakaldo, Biscay, Spain","After the truce period which started in September 1998 and which the Basque Fatherland and Freedom (ETA) broke in December 1999, ETA restarts its attack campaign with an attack in Madrid, killing Army Lieutenant Colonel Pedro Antonio Blanco and injuring at least four others in a car bomb explosion. A spokesman for the Euskal Herritarrock (EH) – the platform set up by the Basque Fatherland and Freedom (ETA) – apologized for the death of Blanco but said that the responsibility ""falls on their perpetrators."" A second explosion followed this one about 45 minutes later. ETA claimed responsibility for this attack on March 8 and in their communiqué criticizes the Basque Nationalist Party (PNV) and the Eusko Alkartasuna (EA) for having slowed down the peace process.[1]"
14,January 25,4,6,"Kashmir, India","Rocket attack kills 4, wounds 6; Harakat ul-Mujahedin responsible.[1]"
15,January 27,10,20,"Northern Sri Lanka, Sri Lanka",A parcel bomb ripped through a post office in northern Sri Lanka killing ten people. The bomb went off across the street from a police station. Police suspect a timing device was used.[1]
16,January 27,2,7,"Qayumbad, Pakistan",At least two people were killed and seven others were injured in a bomb explosion that took place at a mosque in Qayumbad. The blast took place during prayers. The premises was slightly damaged by the attack.[1]
17,January 27,8,70,"Vavuniya, Sri Lanka","Bomb shatters post office, kills 8, wounds 70 in Vavuniya. LTTE blamed.[1]"
18,January 31,0,1,"Copenhagen, Denmark","Boris Zhilko, a Russian diplomat, was injured when a bottle containing an incendiary mixture was thrown into the Russian Consular Office in Copenhagen. The attacker was detained and claimed he attacked the embassy ""in response to Russia's actions in Chechnya.""[1]"
19,February 3,0,34,"Colombo, Sri Lanka",LTTE suspected in bomb blasts on 3 buses that injured 34.[1]
20,February 4,2,4,"Puerto Asis, Colombia","A car bomb exploded in front of the Hotel Quirama in Puerto Asis (Putumayo Department), killing at least two people and injuring four. Authorities attribute the attack to the Revolutionary Armed Forces of Colombia (FARC).[1]"
21,February 6,0,0,"Northern Ireland, United Kingdom",An explosive device exploded under an oil tank at Mahon's Hotel in Irvinestown after a call was made to authorities warning of the attack. The called claimed to belong to the Continuity Irish Republican Army (CIRA). No one was injured in the bomb blast or the fire that followed the blast. This attack comes as the most recent peace process was facing a crisis when the IRA refused to decommission their weapons.[1]
22,February 7,1,51,"Colombo, Sri Lanka","The first of two bombs exploded on a crowded bus in central Sri Lanka killing one and wounding fifty-one. Authorities believe that this and the second blast, were perpetrated by the same group, possibly Tamil rebels.[1]"
23,February 11,0,0,"Amorebieta, Spain","Four hooded individuals set a Citroën car dealership in Amorebieta on fire, completely destroying it. The US Department of State blames the attack on the Basque Fatherland and Freedom (ETA).[1]"
24,February 11,5,20,"Sambha, India",Five people were killed and seven others injured when a bomb explosion blew up portions of a railway track near Sambha. The attack took place only minutes before the Jammu Tawi-Sealdah Express Train was due to arrive at the Sambha station.[1]
25,February 12,4,26,"Kashmir, India","A bomb exploded near GGM Science College and vegetable market killing four people and wounding twenty-six. The bomb detonated in darkness, shattering several adjoining buildings and shops and damaging vehicles parked nearby. Authorities are unsure if the device was planted on the site or if it was thrown from a vehicle.[1]"
26,February 16–18,60-100+,Unknown,"Villa del Rosario-El Salado, Bolívar Department, Colombia","El Salado Massacre Autodefensas Unidas de Colombia militants they execute the El Salado Massacre, killing more than 60 people. It´s considered the worst attack of the group.[4]"
27,February 20,1,17,"Basilan, Philippines","Abu Sayyaf bombings of restaurant, 2 police stations in Basilan town, kill 1, wound 17.[1]"
28,February 22,2,2,"Vitoria, Spain","Fernando Buesa, the Secretary General of the socialist PSE-EE party, and his escort were killed when a vehicle exploded on the university campus of Vitoria. The Euskal Herritarrok (the radical platform set up by the Basque Fatherland and Freedom (ETA) political wing) stated that they ""deeply regretted"" the deaths but did not ""condemn"" them. Note: On 8 March, ETA claimed responsibility for this attack and another attack against Lt. Col. Blanco in January. In their communiqué, ETA accused Buesa of basing the whole of his political career on, ""hatred and opposition against the Basque people.""[1]"
29,February 23,0,1,"Istanbul, Turkey","A bomb, which exploded in a bank, injured one man in the leg. The explosion occurred in the Levent neighborhood of Istanbul.[1]"
30,February 25,49,50,Philippines,"MILF conducts 3 bombings on buses, ferry, killing 49, injuring 50.[1]"
31,February 26,0,0,"Ballykelly, United Kingdom",Dissident republicans tried to bomb an army barracks at Ballykelly. The bomb exploded but no one was killed or injured in the blast.[5]
32,February 28,0,0,"Leioa, Spain","A bomb exploded at the home of Nieves Hurtado, a socialist councilor of Leioa. The blast caused substantial damage to the entrance of the home.[1]"
33,March 4,1,17,"Basilan, Philippines: A restaurant was bombed in the Basilan capital town of Isabela. One person was killed and seventeen were wounded. On March 4, Philippine News Agency reported that the man suspected of masterminding this attack, a member of Abu Sayyaf, had been apprehended.[1]",
34,March 5,0,0,"Khalandri, Greece: The Revolutionary Cells claimed responsibility for a time bomb that went off at the AKTOR construction company firm's office in Khalandri. The blast caused damage to the entrance of the company and to surrounding cars.[1]",
35,March 6,0,8,"San Sebastián, Spain: A remote-controlled device exploded near a Civil Guard barracks in San Sebastian, injuring eight people (two Civil Guards and six civilians). The attack is the third since the Basque Fatherland and Freedom (ETA) ended their cease-fire and used the same methods as the previous two attacks. The device was placed in a car. A spokesman for ETA's political wing called this attack, ""a political and human tragedy.""[1]",
36,March 6,6,9,"Erez Crossing, Israel: bombing[6]",
37,March 7,0,7,Spain: Car bomb attack attributed to ETA injures 7.[1],
38,March 10,19 (+3),47,"Colombo, Sri Lanka Twenty-two people were killed including three terrorists when a group of terrorists threw bombs and hand grenades, and opened fire on a busy Ayurveda roundabout. Six policemen were also killed in the attack.[1]",
39,March 12,1,13,"Chlef, Algeria: Two bomb attacks on a weekly market near Chlef killed one and injured thirteen others.[1]",
40,March 17,0,5,"Sadra Bazaar, India: At least three persons were injured in a bomb blast in Sadra Bazaar.[1]",
41,March 20,0,3,"Hebron, West Bank, Israel: In a shooting attack near Hebron, three Israeli civilians were wounded when the taxi they were in was fired on near the Idnah checkpoint.[1]",
42,March 21,0,4,"Churchgate rail station, India: Four commuters were injured when an explosive device detonated inside of a train during peak rush hour. The blast occurred shortly before the train arrived at the Churchgate rail station on the Western Railway.[1]",
43,March 26,0,15,"Istanbul, Turkey: Seventeen people were injured when unknown assailants opened fire at a sports facility in Istanbul. The assailants managed to escape after the attack.[1]",
44,March 27,0,2,"Dagestan, Russia: Bus bomb injures vice premier of Dagestan Republic and driver.[1]",
45,March 30,4,19,"Cachipay, Colombia: A Bus bomb parked in front of the mayor's office in Cachipay (Cundinamarca Department) detonated, causing injuries to nineteen and deaths to four. Roberto Hinestroza, the Governor of Cundinamarca, attributes the attack to the 42nd Front of the Revolutionary Armed Forces of Colombia (FARC). Note: It is believed that FARC is carrying out threats to attack Cundinamarca municipalities for the mayor's refusal to make extortion payments.[1]",
46,April 4,2,7,Algeria A bomb attack on a weekly market killed two and injured seven others.[1],
47,April 5,3,4 kidnapped,"Valle Department, Colombia The Police Colonel,commander of the district of Palmira, was kidnapped along with three more uniformed police, when the helicopter moved into the village of Barragán, rural area of Tuluá (Valle). Another three soldiers die when the helicopter falls to the ground.[7]",
48,April 7,0,4,Pakistan Four people were injured in a bomb that went off at a hotel. The blasts come one day after Nawaz Sharif was sentenced to life imprisonment.[1],
49,April 7,0,16,"Lahore, Pakistan: A bomb planted on a fruit crate exploded in Medina Chowk, a large bus terminal in Lahore. The site of the blast is congregated by bus passengers. At least sixteen people were injured by the device.[1]",
50,April 8,0,16,"Lahore, Pakistan: Over a dozen were injured when a bomb went off in front of a cigarette kiosk at Badami general bus stand in Lahore.[1]",
51,April 8,0,5,"Rawalpindi, Pakistan: A bomb went off in Rawalpindi injuring five people. The explosion went off in a hotel in Raja Bazaar.[1]",
52,April 11,1,20,"Colombia ELN bombs damage 4 Mormon meetinghouses; bridge attack kills 1, injures 20.[1]",
53,April 11,0,4,"Algeria A bomb exploded at a high school just before the start of morning classes, injuring four.[1]",
54,April 12,15,27,"Mallow Wali, Pakistan At least fifteen people were killed in an attack on a mosque near the capital. According to police unidentified assailants first cut the telephone wires to the village of Mallow Wali and then threw grenades into the mosque before spraying the worshipers with gunfire.[1]",
55,April 13,6,50,"Sri Lanka Bomb explodes at Tamil music concert killing 6, wounding 50; LTTE blamed.[1]",
56,April 14,0 (+14),Unknown,"Genova, Quindío, Colombia  In a clash between the Colombian Army and militants to the Jaime Bateman Cayon (Dissidents of the M-19 Guerrilla)leaving a balance at least 14 militants killed.[8]",
57,April 16,0,0,"Caño Limón–Coveñas pipeline, Colombia: A bomb attributed to guerrillas exploded at the Cano Limon-Covenas pipeline. No further information is provided.[1]",
58,April 18,8,18,"Indonesia At least eight people were killed and eighteen injured when two explosive devices were thrown at a guard post at the PT Aceh ASEAN Fertilizer plant. Soldiers, security guards, and civilians were among those injured. This incident comes amidst at least two weeks of violence in the province and attacks on both civilian and military targets.[1]",
59,April 19,1,1,"Plévin, France: An explosive, the same kind that was stolen in September 1999 in Plévin, exploded at a McDonald's in Dinan, killing one female employee. Authorities are blaming the Breton Revolutionary Army (ARB) for the attack.[1]",
60,April 20,3,35,"Kashmir, India: Suicide bomb attack in Kashmir kills bomber, injures 7. Grenade at market kills 2, injures 28. Lashkar-e-Taiba suspected.[1]",
61,April 20,3,5,"Brovary, Ukraine: An explosive device caused the collapse of several floors of a building in the Ukrainian town of Brovary, near Kiev. The incident occurred in the late afternoon as people were returning home from work. Three people were killed and five injured. The investigation had begun, but no further details were reported.[1]",
62,April 24,0,5,"Jolo, Sulu, Philippines: Five people were wounded when a grenade was thrown in front of the Allied bank in Jolo town. The attack was believed to have been perpetrated by Abu Sayyaf Group (ASG) in an attempt to divert attention away from the kidnappers and their hostages. Several other bombs exploded nearby at the same time. An elementary school was bombed in Barangay Alat. The attack was believed to have been perpetrated by Abu Sayyaf in an effort to divert attention from its hostage operations. Several other bombs exploded nearby at the same time.[1]",
63,April 25,0,11,"Quetta, Pakistan: Three quick succession bomb blasts injured 11 people in Quetta, Pakistan.[1]",
64,April 27,0,0,"Istanbul, Turkey: A bomb exploded at the Journalists' and Writers' Foundation in the Sisli neighborhood of Istanbul. The explosion caused panic among residents in the neighborhood. No further information is provided.[1]",
65,April 25–28,21,0,"Rio Blanco, Tolima, Colombia Militants to the FARC´s 21st Battalion massacre 21 civilians in the rural area of the inspection of Puerto Saldaña (Rió blanco, Tolima).[9]",
66,April 29,1,8,"Kashmir, India: A bomb went off at a check point killing one and injuring eight. The perpetrators set off the device at the checkpoint in Srinagar.[1]",
67,April 30,0,0,"Ellettsville, Indiana, United States: The Earth Liberation Front (ELF) claimed responsibility for causing over $500,000 in damages to construction equipment in Elettsville, Indiana. Fourteen pieces of logging and construction equipment were destroyed by the perpetrators, who filled gas tanks with sand, cut fuel and hydraulic lines and set a tractor-trailer filled with wood chips on fire. Graffiti found at the scene read, ""Go develop in Hell"", ""ELF"" and ""This machine is evil."" The equipment was being used for a state-run project to build a four-lane highway in the area. In their written statement, the group writes, ""the government and developers are mad with greed and there will be no limit to what they destroy until we take away the profit from their schemes.""[1]",
68,May 1,0,0,"Libertador Bolivarian Municipality, Venezuela: An explosive device, resembling a pipe bomb, exploded at the home of Lina Ron, the political coordinator for the People's Support Network. Ron, the target of a second attack within the last few months, blames political groups that oppose Vladimir Villegas' candidacy for mayor of Liberatador Municipality.[1]",
69,May 2,0,2,"Northern Ireland, United Kingdom: Paul MacDonald was shot four times as he lay in his bed in Dungannon. The Irish Republican Army (IRA) is presumed responsible, as they had ordered him out of Northern Ireland in August 1999. MacDonald had returned only for the birth of his daughter. After shooting him, the assailants also beat him with a baseball bat and a hammer. His partner, Yolanda Hamilton was also injured in the attack.[1]",
70,May 3–4,1,2,"Fukuoka, Japan: 17-year-old youth hijacked a bus ""the Wakakusu"" (Western-Nippon Railroad Co., Ltd.) in Fukuoka, Japan, stabbing one passenger to death and two injured. The Special Assault Team then stormed the hijacked bus and captured the youth alive.",
71,May 11,0,0,"Gaziantep Province, Turkey: A time bomb exploded in a third floor bathroom of the TEDAS (state-run electricity company) building in Gaziantep province. It is estimated that this bomb belongs to the Revolutionary People's Salvation Party-Front (DHKP-C).[1]",
72,May 12,3,18,"Chechnya, Russia: A bus carrying local inhabitants was blown up by a remote-controlled mine near the village of Dzhaglargi in Chechnya. Three people were killed and 18 were wounded. The investigation was in progress, but Russian authorities blamed Chechen groups for the attack, noting that the explosive device was similar to those used in attacks by Chechen rebels on military vehicles.[1]",
73,May 15,5,0,"Kashmir, India: Hizbul Mujahedin bomb attack kills power minister, 4 others, in Kashmir[1]",
74,May 15,2,3,"Bogotá, Colombia: Woman killed by 'collar' bomb; 1 other killed 3 wounded. FARC blamed.[1]",
75,May 17,29,80,"Sri Lanka: Buddhist festival bomb attack kills 29, wounds 80. LTTE blamed.[1]",
76,May 18,23,70,"Sri Lanka: Over twenty people were killed in a suspected Liberation Tigers of Tamil Eelam (LTTE) bomb attack near a Buddhist temple where people were celebrating Vesak, a Buddhist festival. Most of the victims were Sinhalese Buddhists.[1]",
77,May 18,5,24,"Jolo, Sulu, Philippines: Grenade, bomb attacks kill 5, wound dozens in Jolo town, Zamboanga. Abu Sayyaf suspected.[1]",
78,May 19,0,13,"Makati, Philippines: A bomb exploded in the upscale Glorietta mall in the financial district of Makati, injuring thirteen and causing a collapse in the peso and stock market. Defense Secretary Orlando Mercado suggested that the attack was intended to create a situation of disorder and panic. Muslim rebels were among the prime suspects.[1]",
79,May 21,1,8,"Manila, Philippines: A bomb exploded in a moviehouse inside the Philippines' largest shopping mall, causing at least eight casualties and one death. The blast occurred inside the women's bathroom and the majority of injuries occurred to utility workers. Police had not ruled out the involvement of Muslim separatists.[1]",
80,May 23,0,0,"Kashmir, India: In what is believed to be an assassination attempt on the Kashmir Chief Minister's life, a bomb went off at a golf course where the minister had been playing all day with several other VVIP's. The blast took place in the middle of the night and thus, no one was injured. The Hizbul Mujahadin claimed responsibility.[1]",
81,May 28,0,33,"Medan, Indonesia: Three homemade bombs were found in churches through the Medan district. Two of the bombs did not explode, but one of them injured dozens of Christians when it exploded in an Indonesian Protestant Church during a Sunday morning service. Investigators were looking into the incident and some sources suggested that the attack had been perpetrated with the intent of creating some kind of religious conflict.[1]",
82,May 29,0,7,"Algiers, Algeria: A bomb exploded in one of the cars of a passenger train traveling from Algiers to Blida, with seven injured in the attack. The Algiers-Blida route, which is a busy commuter line, has been a frequent target of attacks in the past.[1]",
83,May 31,1,0,"Pereira, Colombia: Humberto Agudelo Gutierres, the Risaralda Assembly Vice President, was shot and killed by unknown assailants while in his vehicle in Pereira.[1]",
84,June 1,0,0,"London, United Kingdom – An explosive device detonated at the Hammersmith Bridge in West London, injuring no one but causing the bridge to be closed for a day. The Hammersmith Bridge has been the target of multiple Irish Republican Army (IRA) attacks in the past. This blast comes only hours before the arrival of Sinn Féin member Gerry Kelly in London. The Continuity Irish Republican Army claims responsibility but police believe that the Real Irish Republican Army are the true perpetrators.[1]",
85,June 4,1,0,"Durango Biscay, Spain – Town councillor Jesús María Pedrosa Urquiza shot and killed. ETA claims responsibility.[1]",
86,June 7,22,60,Sri Lanka: A Liberation Tigers of Tamil Eelam suicide bomber kills a minister and 21 others and injures 60 during War Heroes Procession.[1],
87,June 10,0,1,"Cape Town, South Africa – A bomb hidden in a car exploded outside a Cape Town bagel shop, injuring one. The owner of ""New York Bagels"", Leslie Milner, has both American and Jewish links, fueling suspicion that the attack may have been motivated by anti-Western or anti-Semitic sentiment.[1]",
88,June 15,0,0,"Frankfurt, Germany – A car belonging to an official employed by the Accounts Department of the Iranian consulate in Frankfurt was blown up. The car had been parked outside the home of this individual. No information on motive or responsibility is given.[1]",
89,June 16,13,42,"Algeria: Suspected Armed Islamic Group of Algeria (GIA) bomb at a market kills 13, wounds 42.[1]",
90,June 16,0,0,"Eugene, Oregon, United States:  Two environmental activists and anarchists, Jeffrey Luers and Craig Marshall, were responsible for setting arson, suspectedly via the use of bombs, at the Joe Romania Chevrolet dealership in Eugene, Oregon in the United States. The arson destroyed three pick up trucks including a 2000 Silverado, causing about $40,000 in damages. There were no casualties in the incident. The two men were indicted for this and an attempted arson the previous month.[10][11]",
91,June 19,2,11,"Old Delhi, National Capital Territory, India – Two bombs kill two people and injure 11 at the Red Fort.[1]",
92,June 21,0,2,"Belfast, Northern Ireland, United Kingdom – Two men were injured in an explosive attack on a private home in a nationalist area of Belfast. The blast comes only one day after loyalist paramilitaries threatened to end their ceasefire if attacks on Protestant homes were not stopped.[1]",
93,June 24,0,9,"Getxo, Spain – A car bomb exploded in Getxo, injuring nine people. Police had been forewarned by a call to the newspaper Gara by someone claiming to be a member of ETA. The caller said that the bomb was ""an attack on the Oligarchy."" The explosive device had been placed in a Mercedes with French license plates and exploded before the police arrived.[1]",
94,June 24,1,36,"General Santos City, South Cotabato, Philippines – Six bomb blasts occurred within minutes of each other in the southern Philippines city of General Santos, killing one person and injuring at least 36 others. The Moro Islamic Liberation Front (MILF) denied involvement in the attack. However, the fact that they did claim responsibility for attacks in this city in May, aroused suspicion upon them regardless. The sixth blast occurred outside of a row of banks.[1]",
95,June 29,3,2,"Punjab, India – Three killed when a bomb went off in a tea shop during a cultural function.[1]",
96,July 1,0,0,xxx,"The July 2000 Chechnya suicide bombings happened on July 2-July 3, 2000, when Chechen insurgents launched five suicide bomb attacks on the Russian military and police headquarters and barracks within 24 hours. Russian officials claimed that six bombers killed at least 37 Russian troops (with four more missing) and 11 civilians, and wounded more than 100 people"
97,July 2,54 (+6),100,"Chechnya, Russia","July 2000 Chechnya suicide bombings: The July 2000 Chechnya suicide bombings happened on July 2-July 3, 2000, when Chechen insurgents launched five suicide bomb attacks on the Russian military and police headquarters and barracks within 24 hours. Russian officials claimed that six bombers killed at least 37 Russian troops (with four more missing) and 11 civilians, and wounded more than 100 people"
98,July 4,0,0,"Jakarta, Indonesia","A bomb exploded in the office of the Attorney General and two other bombs were found and defused before they could explode. The bombs were powerful enough to destroy the building if they had exploded. Investigators said the bombs were 'military type,' though they were not necessarily planted by the military.[1]"
99,July 7,0,0,"Vitoria, Spain","An explosive device, left inside a backpack, exploded in the offices of the daily newspaper El Correo in Vitoria. The blast caused damages but no injuries.[1]"
100,July 8,0,0,"Northern Ireland, United Kingdom","A car bomb exploded in Stewartstown outside a Royal Ulster Constabulary (RUC) building. The blast damaged the building, a petrol station and a church nearby. This attack comes as tensions in the area are high because the Drumcree parade has been barred from taking place. Police believe this bomb to be the work of the Real Irish Republican Army (RIRA).[1]"
101,July 9,6,18,"North Ossetia, Russia",A bomb exploded in the market in capital of North Ossetia. Vladikavkaz. The device had been killed with metal fragments. Six people were killed and eighteen wounded. Investigators believed the attack was intended to destabilize the situation in the city. The city is also a stopping point for Russian soldiers and a city which has been hit by more devastating bombings in the recent past (1999).[1]
102,July 12,0,10,"Madrid, Spain","Ten minutes after a member of the Basque Fatherland and Freedom (ETA) called in a warning to police, a car bomb exploded in the center of Madrid, injuring ten people. The bomb contained over fifteen kilos of explosives. One of the injured was a police officer who was responding to the ETA warning.[1]"
103,July 13,0,5,"Lahore, Pakistan","A bomb placed in a garbage dump near a bus stand detonated, injuring five. The bomb exploded near Chungi Amar Sidhu Bazaar.[1]"
104,July 15,1,0,"Málaga, Spain",Councillor Martin Carpena shot dead by ETA in Málaga.[1]
105,July 16,2,33,"Kabacan, Philippines","A powerful bomb exploded through a market in the Southern Philippines, killing two people and wounding thirty-three others. The bomb exploded at the public market in the predominantly Christian town of Kabacan in North Cotabato. Investigators believe that the attack was perpetrated by the Muslim Separatist group, Moro Islamic Liberation Front (MILF), because the device used was similar to other bombings linked to the group. However, the MILF denied responsibility for the bombing.[1]"
106,July 16,2,5,"Dushanbe, Tajikistan","A bomb targeting a European Union vehicle exploded in Dushanbe, killing one person and injuring four others, including three children. The vehicle had markings indicating that it was property of the European Union's ECO humanitarian bureau. It was parked in a residential area near the mayoralty building. On this day another bomb attack targeted the vehicle in which Shamsullo Jobirov, Deputy Security Minister and a candidate for the national parliament, and Makmadsaid Ubaydullayev, mayor of Dushanbe, were traveling after a government meeting in the capital. Jobirov was killed and Ubaydullayev was injured. It is unclear if the two bombings were coordinated.[1]"
107,July 22,0,1,"Istanbul, Turkey","Two banks in the Sisli neighborhood of Istanbul were targeted in bomb attacks, which injured one person. Both the banks' ATMs were completely destroyed.[1]"
108,July 23,6,22,"Quetta, Pakistan",Bomb in Quetta kills six and wounds 22.[1]
109,July 24,6,10,India,At least six people were killed and ten others injured when a powerful bomb ripped through a private bus.[1]
110,July 24,0,4,"Getxo, Spain","Four people, including two police officers, were injured when a car bomb exploded in Getxo outside the home of Pilar Aresti, a Popular Party (PP) senator. Authorities stated that this bomb is similar to another that exploded in Getxo on 24 June.[1]"
111,July 26,0,19,"Jolo Island, Philippines",Abu Sayyaf grenade attack on Jolo café injures 18; grenade attack on cathedral injures 1.[1]
112,July 27,1 (unborn baby),10,"Düsseldorf, Germany","An unborn baby died and 10 people were injured when an explosive device detonated at S-Bahn station Wehrhahn in Düsseldorf. Ralf S., a right-wing extremist who is responsible for the bombing, was arrested on 31 January 2017.[1]"
113,July 29,1,0,"Jáuregui, Buenos Aires, Spain",Juan Maria Jauregui was shot and killed by two suspected Basque Fatherland and Freedom (ETA) members in Tolosa. Jauregui was the former representative of the Interior Ministry and a member of the ruling Popular Party.[1]
114,August 1,2,21,"Jakarta, Indonesia","The Philippines embassy in Jakarta was the target of a bomb attack which killed two and injured 21, including the Ambassador Leonides Caday. Both Indonesian and Filipino leaders blamed Filipino Muslim guerrillas from the Moro Islamic Liberation Front (MILF) group. However, this group denied involvement in the attack. The explosion caused direct damage to the residence of the ambassador. The bomb was planted in front of the gate, and exploded when the ambassador's car approached. On August 3, Mujahideen Division Khandaq claimed responsibility for the bombing. The group was suspected to have links to the MILF group, though MILF officials rejected this suggestion.[1]"
115,August 1,3,36,Philippines,"Bomb explodes at carnival, killing three and wounding 36. The Moro Islamic Liberation Front is suspected.[1]"
116,August 4,0,0,"Southeast of Algiers, Algeria","Three bombs targeted a radio and television transmission station in the mountains southeast of Algiers. No one was injured in the attack, but the local broadcast ""Aures Radio"" was interrupted. It is unclear if the attackers were targeting the station as a symbol and tool of the Algerian government or because its remote location simply made it a target of opportunity.[1]"
117,August 6,2,3,"Dagestan, Russia","Booby-trapped car explodes kills two, wounds three.[1]"
118,August 8,1,11,"Madrid, Spain","A car bomb exploded on Platerias Street in Madrid, injuring eleven people, none seriously. Two well-known politicians live on this street, but authorities don't know if they were the intended target. Sources are calling this a Basque Fatherland and Freedom (ETA) attack. Note: ETA claimed responsibility for this attack in the beginning of September 2000.[1]"
119,August 8,12,97,"Moscow, Russia","A bomb exploded in a pedestrian underpass at Pushkin Square in central Moscow at the height of rush hour. The blast killed 12 people and wounded at least 97. No group claimed responsibility for the bomb, but Chechen ties were suspected. The site of the attack is also an emotional center of Moscow and so has additional significance. The investigation was proceeding and Russian officials were asking for help from foreign intelligence.[1]"
120,August10,15,30,"Srinagar, Indian-administered Kashmir, India",A car bomb attack kills 15 and injuring 30. Hizbul Mujahideen claims responsibility.[1]
121,August 11,0,2,"Cape Town, South Africa","A bomb hidden in a Toyota was detonated outside a busy shopping center. The car exploded and injured two. Neither the perpetrators nor the motivation for the attack has been determined, however, People Against Gangsterism and Drugs is suspected.[1]"
122,August 12,6,42,"Indian-administered Kashmir, India","Land mines explode under buses, killing six soldiers and wounding 42. Hizbul Mujahideen claims responsibility.[1]"
123,August 13,0,0,"Ajaccio, Corsica, France",A powerful explosive charge placed in a car exploded outside the offices of the Corsican Economic Development Agency in Ajaccio. The building had just recently been restored after it was damaged by an earlier attack. Extensive damage was caused to the premises.[1]
124,August 16,2,5,Sri Lanka,"A Liberation Tigers of Tamil Eelam suicide bomber attacked a military vehicle, killing the bomber and a girl and wounding five.[1]"
125,August 16,0,4,"Idgah Colony, Agra, Uttar Pradesh, India",Three schoolchildren and a teacher were injured when an explosive device detonated at a school in Idgah Colony.[1]
126,August 17,1,35,"Riga, Latvia","2000 department store ""Centrs"" bombing: Two explosives placed at the downtown Riga shopping center Centrs detonated. The two blasts occurred in the lobby of the supermarket ten minutes apart. One person died of their injuries and 35 were wounded in the attack. Police were investigating, but had not yet arrested any suspects.[1]"
127,August 18,2,2,Colombia,"Bomb in town kills 2 and injuries 2 that did not want to pay Farc ""war tax"".[1]"
128,August 29,1,0,"Madrid, Spain","Members of the Basque nationalist group ETA shot former People's Party councilor Manuel Indiano Azaustre inside his sweetshop. He died later in the hospital. The platform of ETA stated that, ""...once again the violent part has emerged from the political conflict the Greater Basque Country has been living through for some time."" On 22 September ETA admitted it was responsible for this murder.[1]"
129,August 31,1,1,"Zapotitlán, Guerrero, Mexico","Popular Revolutionary Army members are suspected of ambushing police officers, leaving one officer dead and one other wounded. Note: Incident date is approximate.[1]"
