,Date,Type,Deaths,Injuries,Location,Details,Perpetrator(s),Part of
13,March 02,Suicide bombing,11 (+1),50+,"Jerusalem, Israel","Yeshivat Beit Yisrael massacre: Eleven people were killed and over 50 were injured, 4 critically, in a suicide bombing near a yeshiva in the center of Jerusalem where people had gathered for a barmitzvah celebration. The terrorist detonated the bomb next to a group of women waiting with their baby carriages for their husbands to leave the nearby synagogue. The Fatah Al-Aqsa Martyrs Brigade took responsibility for the attack.",Fatah  Al-Aqsa Martyrs Brigade,Second Intifada
14,March 05,Suicide bombing,1 (+1),Unknown,"Afula, Israel","One person was killed and a large number injured, most lightly, when a suicide bomber exploded in an Egged bus as it entered the Afula central bus station. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
15,March 05,Shooting,3 (+1),15,"Tel Aviv, Israel","Seafood Market attack: Three people, including Druze police officer Salim Barakat of Yarka was killed in Tel Aviv when a terrorist opened fire on two adjacent restaurants.[4]",Unknown,Second Intifada
16,March 07,Suicide bombing,0 (+1),15,"Ariel, West Bank","A suicide bomber blew himself up in the lobby of a hotel in Ariel. 15 people were injured, one seriously. The Popular Front for the Liberation of Palestine claimed responsibility for the attack.",Popular Front for the Liberation of Palestine,Second Intifada
17,March 09,Suicide bombing,11 (+1),54,"Jerusalem, Israel","Café Moment bombing: 11 people were killed and 54 injured, 10 of them seriously, when a suicide bomber exploded in the crowded Moment cafe in the center of Jerusalem. Hamas claimed responsibility for the attack.",Hamas,Second Intifada
18,March 12,Ambush,6 (+2),1,"Matzuva, Israel",Matzuva attack: Two Islamic Jihad members opened fire on Israeli civilians traveling along a road.,Islamic Jihad,Second Intifada
19,March 17,Suicide bombing,0 (+1),25,"Northern Jerusalem, Israel",A suicide bomber exploded himself near an Egged bus at the French Hill junction in northern Jerusalem. 25 people were lightly injured.,Unknown,Second Intifada
20,March 20,Suicide bombing,7 (+1),27,"Afula, Israel","Umm al-Fahm bus bombing: Four soldiers and three others were killed, and about 30 wounded, several seriously, in a suicide bombing of an Egged bus near Afula. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
21,March 21,Car bomb,9,30,"Lima, Peru",At least nine people were killed and 30 injured by a powerful car bomb which went off near the United States embassy in Lima.,Unknown,Internal conflict in Peru
22,March 21,Suicide bombing,3 (+1),86,"Jerusalem, Israel","King George Street bombing: Three people were killed and 86 injured, 3 of them seriously, in a suicide bombing in the center of Jerusalem. The terrorist detonated the bomb, packed with metal spikes and nails, in the center of a crowd of shoppers. The Fatah Al-Aqsa Martyrs' Brigades claimed responsibility for the attack.",Fatah  Al-Aqsa Martyrs' Brigades,Second Intifada
23,March 27,Suicide bombing,30 (+1),140,"Netanya, Israel",Passover massacre: A Palestinian suicide bomber kills 30 and injures 140 during Passover festivities in a hotel in Netanya in the Passover massacre.,Hamas,Second Intifada
24,March 29,Suicide bombing,2 (+1),28,"Jerusalem, Israel","Kiryat HaYovel supermarket bombing: Two people were killed and 28 injured, two seriously, when a female suicide bomber blew herself up in a supermarket in Jerusalem. The Fatah Al-Aqsa Martyrs' Brigades took responsibility.",Fatah  Al-Aqsa Martyrs' Brigades,Second Intifada
25,March 30,Suicide bombing,1 (+1),30,"Tel Aviv, Israel",One person was killed and about 30 injured in a suicide bombing in a cafe in Tel Aviv. The Fatah Al-Aqsa Martyrs' Brigades claimed responsibility for the attack.,Fatah  Al-Aqsa Martyrs' Brigades,Second Intifada
26,March 30,"Shooting, suicide bombing",11 (+2),20,"Jammu, India",2002 Raghunath temple attacks: Two suicide attackers open fire on the Raghunath Temple in Jammu before blowing themselves up. This was the first of two attacks on this temple in 2002.,Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
27,March 31,Suicide bombing,16 (+1),40+,"Haifa, Israel",Matza restaurant suicide bombing: A Hamas suicide bomber kills 15 and injures over 40 in Haifa.,Hamas,Second Intifada
28,March 31,Suicide bombing,0 (+1),4,"Efrat; Jerusalem, Israel","A paramedic and three others were very seriously injured in a suicide bombing at the emergency medical center in Efrat, south of Jerusalem.",Unknown,Second Intifada
29,April 01,Suicide bombing,1 (+1),0,"Jerusalem, Israel",A police officer was killed in Jerusalem when a Palestinian suicide bomber blew himself up in his car after being stopped at a roadblock. The Fatah al-Aqsa Martyrs Brigades claimed responsibility for the attack.,Fatah  al-Aqsa Martyrs Brigades,Second Intifada
30,April 07,Bombing,12,70,"Villavicencio, Colombia","Two bombs explode in the restaurant district of Villavicencio, killing twelve and injuring 70. FARC is the prime suspect for the attack.[5]",FARC (suspected),Colombian conflict
31,April 10,Suicide bombing,8 (+1),22,"Kibbutz Yagur, east of Haifa, Israel","Yagur Junction bombing: Eight people were killed and 22 injured in a suicide bombing on an Egged bus near Kibbutz Yagur, east of Haifa. Hamas claimed responsibility for the attack.",Hamas,Second Intifada
32,April 11,Truck bombing,19 (+1),30+,"Djerba, Tunisia","Ghriba synagogue bombing: A natural gas truck fitted with explosives is driven into a synagogue by an al-Qaeda member, killing 20 and wounding more than 30.",al-Qaeda,Insurgency in the Maghreb
33,April 12,Rocket attack,0,2,"Bogotá, Colombia",A rocket explodes near the studios of RCN TV in Cali.[6],Unknown,Colombian conflict
34,April 12,Suicide bombing,6 (+1),104,"Jerusalem, Israel",2002 Mahane Yehuda Market bombing: Six people were killed and 104 wounded when a female suicide bomber detonated at the entrance to Jerusalem's Mahane Yehuda open-air market. The Al-Aqsa Martyrs' Brigades claimed responsibility for the attack.,Al-Aqsa Martyrs' Brigades,Second Intifada
35,April 14,Bombing,2,20,"Barranquilla, Colombia",During an assassination attempt of then-presidential candidate Álvaro Uribe Vélez a bomb kills two and injures 20 in Barranquilla. Rebel group FARC is blamed.,FARC (suspected),Colombian conflict
36,April 19,Bombing,3,10,"Cartagena, Colombia","Two bombs, allegedly placed by FARC kill three and injure ten near Cartagena.",FARC (suspected),Colombian conflict
37,May 02,Mortar bombing,119,98,Colombia,"Bojayá massacre: FARC launches a mortar bomb against a church during combats with AUC, killing at least 117 civilians, 48 of whom were children. Delayed response from the authorities make it impossible to establish a final count, as most of the dead were buried before they could be accounted for.",FARC,Colombian conflict
38,May 03,Bombing,0,6,Midwestern United States,"Luke Helder injures 6 by placing pipebombs in mailboxes in the Midwest. Motivation to protest government control over daily lives, the illegality of marijuana and promotion of astral projection.",Luke Helder,Terrorism in the United States
39,May 06,Assassination,1,0,"Hilversum, Netherlands",Assassination of Pim Fortuyn: Right wing politician Pim Fortuyn is assassinated by far left extremist Volkert van der Graaf who said he was worried about Fortuyn getting in power and targeting immigrants and Muslims as scapegoats,Volkert van der Graaf,Terrorism in Netherlands
40,May 07,Suicide bombing,15 (+1),57,"Rishon LeZion, Israel","2002 Rishon LeZion bombing: 16 people were killed and 55 wounded in a suicide bombing in a crowded game club in Rishon Lezion, southeast of Tel Aviv, which caused part of the building to collapse. Hamas claimed responsibility for the attack.",Hamas,Second Intifada
41,May 08,Bombing,0,0,"Buenos Aires , Argentina","A homemade bomb detonate in front of a Banco Francés ATM near a shopping mall in Buenos Aires. Police reported that the attack was attributed to a self called ""Comando Nacionalista Ricardo López Jordán"".[7][8][9]",Comando Nacionalista Ricardo López Jordán,Terrorism in Argentina
42,May 08,Bombing,13 (+1),40,"Karachi, Pakistan",The 2002 Karachi bus bombing kills eleven Frenchmen and two Pakistanis,Al-Qaeda (suspected),Terrorism in Pakistan
43,May 09,Bombing,44,133,"Kaspiysk, Russia",Kaspiysk bombing: A bomb explosion in Kaspiysk in Dagestan kills at least 42 people and injures 130 or more during Victory Day festivities.,Shariat Jamaat,Second Chechen War
44,May 13,Sabotage,12,80,"Jaunpur, India",Jaunpur train crash: Twelve people are killed when Islamic extremists cut rails to a train.,Students Islamic Movement of India,Terrorism in India
45,May 14,Shooting,31,47,"Kaluchak, India",2002 Kaluchak massacre: Three LeT militants open fire on a tourist bus filled with mainly Indian Army personnel and their families.,Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
46,May 19,Suicide bombing,3 (+1),59,"Netanya, Israel","Netanya Market bombing: Three people were killed and 59 injured, 10 seriously, when a suicide bomber, disguised as a soldier, blew himself up in the market in Netanya. Both Hamas and the PFLP took responsibility for the attack.",Hamas  PFLP,Second Intifada
47,May 20,Suicide bombing,0 (+1),1,Israel (Afula-bound),"A suicide bomber, apparently bound for Afula, killed himself after policemen approached him for questioning at a bus stop. There were no other injuries.",Hamas,Second Intifada
48,May 22,Suicide bombing,2 (+1),40,"Rishon Lezion, Israel",Two people were killed and about 40 wounded when a suicide bomber detonated himself in downtown Rishon Lezion.,Hamas,Second Intifada
49,May 23,Car bombing,0,0,"Tel Aviv, Israel","Pi Glilot bombing attempt: Disaster was averted when sprinklers put out a fire after a diesel truck was detonated in a gas depot. The bombing could have caused a chain reaction, killing thousands of people.",Hamas,Second Intifada
50,May 24,Failed car bombing,0 (+1),5,"Tel Aviv, Israel",A security guard opened fire on a terrorist attempting to ram a car bomb into a disco in Tel Aviv. The terrorist was killed and five Israelis slightly injured when the bomb exploded prematurely.,Hamas,Second Intifada
51,May 27,Suicide bombing,2 (+1),37,"Petah Tikva, Israel","A grandmother and her infant granddaughter were killed and 37 people were injured, some seriously, when a suicide bomber detonated himself near an ice cream parlor in Petah Tikva. The Fatah Al-Aqsa Martyrs' Brigades claimed responsibility for the attack.",Fatah  Al-Aqsa Martyrs' Brigades,Second Intifada
52,May 28,Incendiary Bombing,0,0,"Villa Urquiza, Argentina","an improvised explosive/incendiary attack were blast in a branch of Banco Francés bank Villa Urquiza, Buenos Aires. The ""Comando Nacionalista Ricardo López Jordán"" and ""Comando Felipe Varela"" claimed responsibility for the attack.[10][11][12]",Comando Nacionalista Ricardo López Jordán and Comando Felipe Varela,Terrorism in Argentina
53,June 05,Car bomb,17 (+1),38,"Afula, Israel","Megiddo Junction bus bombing: Seventeen people were killed and 38 injured when a car packed with explosives struck an Egged bus at the Megiddo Junction near Afula. The bus, which burst into flames, was completely destroyed. The terrorist was killed in the blast. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
54,June 11,Suicide bombing,1 (+1),15,"Herzliya, Israel",2002 Herzliya shawarma restaurant bombing: A 14-year-old girl was killed and 15 others were wounded when a Palestinian suicide bomber set off a pipe bomb at a restaurant in Herzliya.,Al-Aqsa Martyrs' Brigades,Second Intifada
55,June 14,Suicide car bombing,12 (+1),51,"Karachi, Pakistan",2002 U.S. consulate attack in Karachi: The car bomb at US Consulate in Karachi kills 12,Al-Qaeda (suspected),
56,June 18,Suicide bombing,19 (+1),74+,"Jerusalem, Israel",Patt Junction Bus bombing: A Hamas suicide bomber detonates himself on a bus in Jerusalem in the Patt junction massacre. The attack kills 19 people and wounds over 74.,Hamas,Second Intifada
57,June 19,Suicide bombing,7 (+1),50,"Jerusalem, Israel","2002 French Hill suicide bombing: Seven people were killed and 50 injured, three critically, when a suicide bomber blew himself up at the French Hill bus stop in northern Jerusalem. The Fatah Al-Aqsa Martyrs' Brigades claimed responsibility for the attack.",Fatah  Al-Aqsa Martyrs' Brigades,Second Intifada
58,June 20,Shooting,5 (+2),10,Itamar,2002 Itamar attack: Two PFLP gunmen raid an Israeli settler house in Itamar and kill a mother and three of her children and wound two other children. They also kill and Israeli commando before they are killed by Israeli forces. Eight more Israelis were wounded during the attack.,PFLP,Second Intifada
59,June 20,Car bombing,1,0,"Riyadh, Saudi Arabia","A car bomb in Riyadh kills Simon Veness, a British national.",Unknown car bomber,
60,June 24,Bombing,0,6,"Bogotá, Colombia","A grenade, allegedly thrown by FARC members, injures six police officers in Bogotá",FARC (suspected),Colombian conflict
61,July 04,Shooting,2 (+1),0,"Los Angeles, United States","2002 LAX shooting: An Egyptian gunman opens fire at an El Al ticket counter in Los Angeles International Airport, killing two Israelis before being killed himself.",Hesham Mohamed Hadayet,Israeli–Palestinian conflict
62,July 13,Massacre,29,~30,"Jammu, India",2002 Qasim Nagar massacre: 29 Hindus are massacred by Islamic extremists in the Jammu suburb Qasim Nagar,Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
63,July 16,"Bomb, shooting",9,20,"Bnei Brak–Emmanuel, Israel","2002 Immanuel bus attack: Nine people were killed and 20 injured in a terrorist attack on a bus traveling from Bnei Brak to Emmanuel. An explosive charge was detonated next to the bullet-resistant bus. The terrorists waited in ambush, reportedly wearing Israeli army uniforms, and opened fire on the bus. While four terror organizations claimed responsibility for the attack, it was apparently carried out by the same Hamas cell which carried out the attack in Emmanuel on December 12, 2001.",Hamas,Second Intifada
64,July 17,Suicide bombings,5 (+2),40,"Tel Aviv, Israel","Neve Shaanan Street bombing: Five people were killed – two Israeli and three foreign workers – and about 40 were injured, four seriously, in a double suicide bombing on Neve Shaanan Street near the old central bus station in Tel Aviv. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
65,July 28,Car bomb,0,0,"Cali, Colombia",A carbomb partially destroys government buildings in Cali. FARC is blamed for the attack. No casualties.,FARC (suspected),Colombian conflict
66,July 30,Suicide bombing,0 (+1),5,"Jerusalem, Israel","Five people suffered light to moderate injuries in a suicide bombing at a felafel stand in central Jerusalem. The bomber, who was killed, apparently exploded prematurely.",Unknown,Second Intifada
67,July 31,Bombing,9 (+1),100+,Israel,"Hebrew University bombing: Nine people were killed and 85 wounded, 14 of them seriously, when a bomb exploded in the Frank Sinatra student center cafeteria on the Hebrew University's Mt. Scopus campus. The explosive device was planted inside the cafeteria, which was gutted by the explosion. Hamas claimed responsibility for the attack.",Hamas,Second Intifada
68,August 04,Suicide bombing,9 (+1),50,"Meron, Israel",Meron Junction Bus 361 attack: Nine people were killed and some 50 wounded in a suicide bombing of an Egged bus at the Meron junction in the Galilee. Hamas claimed responsibility for the attack.,Hamas,Second Intifada
69,August 05,Bombing,0 (+1),1,Northern Israel,"A bomb exploded in a car at the Umm al-Fahm junction in northern Israel, killing the terrorist and wounding the driver, an Arab Israeli resident of Nazareth.",Unknown,Second Intifada
70,August 07,Mortar attack,0,6,"Bogotá, Colombia","Three round of mortars are fired against an Army base in Bogotá, injuring six. FARC is blamed for the attack.[13]",FARC (suspected),Colombian conflict
71,August 07,Mortar attack,13,50,"Bogotá, Colombia","Four rounds of mortars are fired against the Presidential Palace in Bogotá during the inauguration ceremony of President Álvaro Uribe Vélez. 13 people, mostly homeless, die and 50 are wounded when some of the rounds hit slums in downtown Bogotá. FARC is blamed.[13]",FARC (suspected),Colombian conflict
72,August 19,Shootdown,127,31,"Khankala, Russia",2002 Khankala Mi-26 crash: A group of Chechen rebels shoot down a Russian helicopter carrying over 140 soldiers over a minefield. This event is the deadliest incident in helicopter aviation history,ChRI,Second Chechen War
73,September 05,Suicide car bombing,30,167,"Kabul, Afghanistan",2002 Kabul bombing: A suicide bomber detonated a car bomb in Kabul.,Taliban,War in Afghanistan
74,September 10,Train derailment,130+,150+,"Rafiganj, India",A train derailment kills 130 people in the Rafiganj rail disaster. Naxalite terrorism is suspected.,Naxalites (suspected),
75,September 18,Suicide bombing,1 (+1),3,"Umm al-Fahm, Israel","A policeman was killed and three people were wounded in a suicide bombing at a bus stop at the Umm al-Fahm junction. The terrorist, who was apparently planning to detonate the bomb after boarding a bus, set the charge off early when approached for questioning. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
76,September 19,Bombing,6 (+1),70,"Tel Aviv, Israel",Allenby Street bus bombing: Six people were killed and about 70 wounded when a terrorist detonated a bomb in a bus opposite the Great Synagogue in Tel Aviv. Hamas claimed responsibility for the attack.,Hamas,Second Intifada
77,October 02-21,Bombings,11,180,"Zamboanga City, Philippines",The Zamboanga bombings kills 11 and wounds about 180.,Abu Sayyaf (suspected),Moro conflict
78,October 02-24,Shootings,10,3,"Beltway, United States",Beltway sniper attacks: John Allen Muhammad and Lee Boyd Malvo conduct a series of sniper attacks in several locations throughout the Baltimore-Washington Metropolitan Area from October 2 until they were arrested on October 24. The attacks killed 10 and wounded 3 others. They were later found to have killed seven other people and wounded seven more across the nation over the past several months.,John Allen Muhammad and Lee Boyd Malvo,
79,October 06,Bombing,1,12,"Off of Aden, Yemen","Limburg tanker bombing: On October 6, 2002, one crew member was killed and 12 other crew members were injured in a bombing of a ship carrying 397,000 barrels of crude oil.",Al-Qaeda,
80,October 08,Shooting,1 (+2),1,"Faylaka Island, Kuwait",Faylaka Island attack: Two Kuwaitis opened fire on U.S. Marines conducting a training exercise on Faylaka Island. The two attackers and one marine were killed.,Al-Qaeda  Taliban,
81,October 10,Suicide bombing,1,30,Israel,One man was killed and about 30 people were wounded when a suicide bomber blew himself up while trying to board a bus across from Bar-Ilan University on the Geha highway. Hamas claimed responsibility for the attack.,Hamas,Second Intifada
82,October 11,Bombing,6 (+1),166,"Vantaa, Finland",Myyrmanni bombing: A bomb explosion kills 7 people including the perpetrator and wounds 166 people at  Myyrmanni shopping mall.,Petri Gerdt,
83,October 12,Bombings,202 (+2),209,"Bali, Indonesia","The 2002 Bali bombings kills 202 people, mostly western tourists and local Balinese hospitality staff.",Jemaah Islamiyah,
84,October 18,Bombing,3,22,Philippines,A bus bomb in Manila kills three people and wounds 22.,Unknown,
85,October 19,Car bomb,1,5,"Moscow, Russia","A car bomb explodes outside a McDonald's Corp. restaurant in Moscow, killing one person and wounding five.",Unknown,
86,October 21,Car bomb,14 (+2),50,"Wadi Ara to Hadera, Israel","Karkur junction suicide bombing: 14 people were killed and some 50 wounded when a car bomb containing about 100 kilograms of explosives was detonated next to an intercity bus, while traveling along Wadi Ara toward Hadera. The bus had pulled over at a bus stop when the suicide bomber, driving a jeep, approached from behind and exploded. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
87,October 22,Bombing,3,11,"Bogotá, Colombia",A bomb kills three and wounds at least eleven in Bogotá. No claims are made for the attack.[14],FARC (suspected),Colombian conflict
88,October 23-26,Hostage crisis,133 (+40),700+,"Moscow, Russia",The Moscow theater hostage crisis kills 133 hostages and some 40 terrorists upon rescue.,Riyad-us Saliheen  Islamic International Brigade  Special Purpose Islamic Regiment,Second Chechen War
89,October 30,Bombings,1,3,"Soweto, South Africa","2002 Soweto bombings: Eight bombings across Soweto target a mosque, the Nan Hua Temple as well as railways and petrol stations across the city. One woman is killed and her husband and two other people were injured. A group calling itself ""Warriors of the Boer Nation"" claimed responsibility.",Warriors of the Boer Nation,
90,November 04,Suicide bombing,2 (+1),70,"Kfar Saba, Israel","An Israeli security guard and a teenage boy, both recent immigrants from Argentina, were killed and about 70 were wounded in a suicide bombing at a shopping mall in Kfar Saba. The Islamic Jihad claimed responsibility for the attack.",Islamic Jihad,Second Intifada
91,November 19,Attempted bombing,0,0,"Cúcuta, Colombia",Police deactivate a bomb left by ELN members in front of newspaper La Opinión in Cúcuta.[15],The ELN,Colombian conflict
92,November 21,Suicide bombing,11 (+1),50+,"Central Jerusalem, Israel",Hamas orchestrates the Jerusalem bus 20 massacre. Eleven people were killed and over 50 wounded when a suicide bomber detonated on a crowded bus in central Jerusalem.,Hamas,Second Intifada
93,November 24,"Shooting, suicide bombing",14 (+2),45,"Jammu, India",2002 Raghunath temple attacks: Two suicide attackers open fire on the Raghunath Temple in Jammu before blowing themselves up. This was the second of two attacks on this temple in 2002.,Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
94,November 27,Suicide bombing,3 (+1),20,"Ariel, West Bank",Three soldiers were killed and about 20 people were wounded in a suicide bombing in Ariel. The victims were killed while trying to prevent the terrorist from detonating the bomb. The terrorist was identified as a member of Hamas.,Hamas,Second Intifada
95,November 27,Shooting,6 (+2),34,"Beit She'an, Israel",2002 Beit She'an attack: Two Palestinians opened fire on a Likud polling station.,Al-Aqsa Martyrs' Brigades,Second Intifada
96,November 28,"Bombing, attempted shootdown",13 (+3),80,"Mombasa, Kenya","2002 Mombasa attacks: An Israeli hotel in Mombasa is bombed, killing 13 people (10 Kenyans and 3 Israeli tourists). At nearly the same time, two missiles were fired at an Israeli jet taking off nearby but missed.",Al-Qaeda (suspected),
97,December 02,Bombing,2,50,"Mumbai, India",2002 Mumbai bus bombing: A bomb placed under a seat of a B.E.S.T. bus explodes and kills two people.,Lashkar-e-Taiba (suspected),
98,December 05,Bombing,3,18,"Makassar, Indonesia","A bomb blast kills three and injures 18. The bomb was placed in McDonald's, Ratu Indah Mall.",Jamaah Islamiyah,
99,December 06,Shooting,3,29,"Caracas, Venezuela","A gunman fired at an anti-Chavez demonstration, killing 3 and wounding 29 with a Glock pistol.[16]",João de Gouveia (Lone Wolf),Venezuelan general strike
100,December 09,Car bomb,0,50,"Western Bogotá, Colombia",A car bomb injures 50 in western Bogotá. Authorities blame FARC.,FARC (alleged),Colombian conflict
101,December 13,Bombing,0,30,"Downtown Bogotá, Colombia",A package bomb injures 32 on the 30th floor of the Intercontinental Hotel in downtown Bogotá. No groups claim responsibility.[17],Unknown,Colombian conflict
102,December 17,Bombing,1,20,Colombia,"A bomb blast kills one and injures 20 in Neiva. The bomb was placed outside the building of the National Telecommunications Company, Telecom Colombia. Authorities suspect FARC is responsible for the attack.[17]",FARC (suspected),Colombian conflict
103,December 21,Train derailing,20,80,"Kurnool, India",Kurnool train crash: Islamic extremists derail a train and kill 20 people.,Lashkar-e-Taiba,
104,December 27,Car bombings,83 (+3),210,"Grozny, Russia",2002 Grozny truck bombing: The truck bombing of the Chechen parliament in Grozny kills 83 people.,Riyadus Salihiin,Second Chechen War
