,Date,Dead,Injured,Location and description
17,30 January,≈6,≈18,"Lashkar Gah, Afghanistan. Taliban insurgents were blamed for a suicide bomb attack in a mosque, killing at least six including a provincial deputy governor, Per Mohammad.[21][22]"
18,1 February ,6,0,"North Waziristan, Pakistan. A suicide bomber rammed an explosive-laden car into a Pakistani security force checkpost in the North Waziristan tribal region on Friday, killing six men.[23]"
19,1 February,0,3,"Nouakchott, Mauritania. Unidentified gunmen opened fire on Israel's embassy in Mauritania, wounding three French nationals[24]"
20,1 February,98,≈200,"Baghdad, Iraq. Two mentally disabled women were strapped with explosives and sent into busy Baghdad markets, where they were blown up by remote control. The bombs killed at least 98 people and wounded more than 200 at two popular pet markets[25]"
21,2 February,20,50,"Dambulla, Sri Lanka. A bus carrying civilians bombed.[26]"
22,3 February,12,≈100,"Colombo, Sri Lanka. Suspected Tamil Tiger suicide bomber blew herself up outside a  train at the main railway station in Colombo.[27]"
23,3 February,≈8,≈9,"Mogadishu, Somalia. A mini-bus destroyed by a landmine .[28][29][30][citation needed]"
24,4 February,1,9,"Dimona, Israel. A Palestinian suicide bomber detonates an explosion belt in a shopping center and kills one woman and injures nine other people. A second suicide bomber is hurt in the blast and shot to death by Israeli police before he could detonate his own belt.[31][32] See Dimona attack."
25,4 February,13,20,"Weli-Oya and Colombo, Sri Lanka. Suspected Tamil Tiger rebels killed 13 people with two roadside bombs on Monday, just hours after the government celebrated the island's 60th anniversary of independence with a parade of military might in the capital.[33]"
26,5 February,25,≈90,"Bossaso, Somalia. Two separate bombs went off in northern Somalia, killing at least 25 civilians and wounding more than 90 others[34]"
27,8 February,0,3,Baqubah Iraq. FOB Warhorse RPGs shot from outside the forward operating base Warhorse injuring three US soldiers
28,9 February,27,50,"Charsada, Peshawar province, Pakistan. The bombing of a political gathering killed 27 and wounded more than 50 people.[35]"
29,11 February,≈25,≈40,"Balad, Iraq is struck by a car bomb. See 2008 Balad bombing.[36]"
30,11 February,10,13,"North Waziristan, Pakistan. A suicide bomber killed at least ten people, including an election candidate, and wounded 13 others[37]"
31,12 February,1,10+,"Damascus, Syria Hezbollah senior commander killed in car explosion.[38]"
32,16 February,39,≈100,"Parachinar, Pakistan. A suicide bomber attacked supporters of assassinated Prime Minister Benazir Bhutto.[39]"
33,17 February,65,≈50,"Kandahar, Afghanistan. Taliban suspected of a suicide bomb attack at a dog-fighting competition.[22][40][41][42]"
34,18 February,37,30,"Near Pakistan border, Afghanistan. A suicide bomber targeted a foreign military convoy.[43]"
35,19 February,1,3,"Kandahar, Afghanistan car bomb kills 1.[44]"
36,20 February,0,0,"Panvel, India. A small explosion occurred in a movie theater screening Jodhaa Akbar, a controversial film found by ethnic Rajputs to be ""offensive"".[45][46]"
37,24 February,1,0,"In the dawn, there was a bombing in the headquarters of the Fedecámaras business union in Caracas, Venezuela. Despite causing important damage, the only casualty was the perpetrator, Héctor Serrano.[47][48]"
38,26 February,5,0,Afghanistan Roadside bomb kills 5 policemen[49]
39,27 February,1,0,Israel A student at Sapir College was killed when a Kassam rocket exploded in a parking lot near the Sderot campus. He died shortly after sustaining massive wounds to his chest. Hamas claimed responsibility for the attack[50]
40,29 February,27,40,Pakistan Suicide bomb at Pakistan funeral kills 27[51]
41,4 March,5,19,"Lahore, Pakistan. At Naval War College opposite Aitchison College Lahore a twin bomb blast occurred. Five were claimed dead while about 19 are reported to have been injured."
42,6 March,0,0,"New York City, United States. A bomb goes off outside an empty military recruiting station in Times Square.[52]"
43,6 March,54,≈130,"Baghdad, Iraq. In a popular market in the Karada shopping area, a roadside bomb detonates. As a crowd gathered around the site of the blast, a few minutes later a suicide bomber blew himself up which killed dozens and wounded scores.[53]"
44,6 March,8,11,"Jerusalem, Israel. Eight students of the Mercaz Harav Yeshiva in Jerusalem were killed when an attacker armed with a Kalashnikov assault rifle entered the yeshiva and opened fire in the library with about 80 people in attendance, most of them teenagers. Eleven others were wounded, including three who were in critical danger. The attacker, a resident of East Jerusalem, was killed by an IDF officer.[54]"
45,7 March,1,0,"Mondragón, Spain An ETA gunman kills Isaías Carrasco, former town councilor for Mondragón, on his way to work, two days before the General Elections."
46,10 March,3,0,"Kanaan, Iraq. A female suicide bomber entered the home of Sheik Thaeir Ghadhban al-Karkhi, a prominent Sunni who had turned against al-Qaeda, and blew herself up, killing al-Karkhi, his 5-year-old niece, and a security guard.[55]"
47,11 March,27,≈100,"Lahore, Pakistan. 27, among them 13 FIA officials, were killed on 11 March 2008 when a massive explosion that 'shook the city'. About 700–800 kilos of explosives were used at FIA HQ Temple Road."
48,16 March,0,0,"Santa Herminia, Paraguay. EPP members burned agricultural machinery from the Santa Herminia farm in the department of Concepción. It is the first attack directed by the Paraguayan People's Army[56]"
49,21 March,0,1,"Calahorra, Spain. A car bomb explodes outside a Guardia Civil barracks in Calahorra, La Rioja, injuring one policeman lightly and causing extensive property damage.[57]"
50,21 March,0,0,"Azpeitia, Spain. Two small bombs exploded near Azpeitia with minor damage near a television transmitter. No injuries were reported.[58]"
51,6 April ,15,90,"Weliveriya, Sri Lanka. See 2008 Weliveriya bombing"
52,8 April ,1,0,Somalia. A Shabaab suicide bomber rammed a car into the gate of the complex that housed peacekeepers from Burundi; one soldier was killed.[59]
53,12 April ,13,~200,"Shiraz, Iran.  A bomb exploded inside of the Shohada Hosseiniyeh mosque at around 9 pm during a sermon by a cleric well known for criticism of Wahhabism and Bahaii.  Tehran blamed Western-backed monarchists for the attack.[60][61]  On its website, a group called Anjoman-e Padeshahi-e Iran (API), or Soldiers of the Kingdom Assembly of Iran, claimed responsibility.[62]"
54,15 April ,~53,~90,"Baquba, Iraq. At least 53 died and another 90 were injured when explosives packed in a bus detonated outside a restaurant near a court in Baquba, north of Baghdad.[63]"
55,15 April ,13,,"Ramadi, Iraq. 13 were killed in a suicide bombing at a kebab restaurant where policemen were eating in Ramadi[63]"
56,17 April ,0,7,"Bilbao, Spain. A bomb blast outside the office of Spain's ruling Socialist party in Bilbao, was blamed on Basque separatist group ETA after a traditional phone call to DYA, and caused serious damage to the building but no casualties. However, 7 policemen were injured.[64]"
57,19 April ,0,13,"Kerem Shalom, Israel. Three explosive-laden vehicles approached under heavy morning fog the Kerem Shalom central humanitarian crossing. Bombers triggered the explosives in the two jeeps, wounding thirteen IDF soldiers; one moderately-seriously, two moderately and eight lightly. Four bombers were killed in the incident, their attempts to detonate the third vehicle failed. The bombing attack was combined with a barrage of 15 mortar shells fired at the area.[65]"
58,19 April ,0,0,"Elgoibar, Spain. For the second time in three days, a bomb went off in northern Spain Sunday preceded by a warning call by the Basque separatist group ETA. The blast damaged the recreation center of the ruling Socialist Party in the Basque town of Elgoibar. No one was hurt.[66]"
59,25 April ,26,64,"Piliyandala, Sri Lanka. The bombing of a commuter bus in a suburb of Colombo killed 26 and injured at least 64. See 2008 Piliyandala bus bombing"
60,25 April ,0,0,"San Diego, United States. A pipe bomb exploded inside a Federal Express distribution facility in San Diego. The blast did little damage to the building a second pipe bomb was found  the parking lot and was safely defused. No one was killed or  injured in the blast.[67]"
61,1 May ,0,0,"Arrigorriaga, Spain. A bomb explodes in an industrial pavilion for Spain's Ministry of Labor in the Basque town of Arrigorriaga.[citation needed]"
62,1 May ,0,0,"Donostia-San Sebastian, Spain. Two bombs exploded half an hour later near a Basque regional government labor institute in the large Basque city of Donostia-San Sebastian.[citation needed]"
63,2 May ,~15,~55,"Yemen, Sa'dah Governorate. 15 are killed and 55 are injured in a bombing at the Bin Salman mosque.[68]"
64,5 May ,5,0,"Grozny, Chechnya, Russia. A roadside bomb in Chechnya's capital city has killed five policemen. This attack has been considered as one of the most lethal attacks to occur in recent months.[69]"
65,10 May ,11,29,"Ampara, Sri Lanka. A bomb attributed to Tamil Tiger rebels ripped through a cafe, 11 killed, 29 injured.[70]"
66,12 May ,0,0,Spain Two small bombs have damaged construction equipment in an attack claimed by the Basque separatist group.[citation needed]
67,13 May ,80,216,"Jaipur, India. A simultaneous bomb blast at eight different sites, including a crowded shopping site and a Hanuman temple, a self-styled Indian Mujahideen, (a collaboration of LeT &amp; SIMI) has claimed responsibility.[71]"
68,14 May ,1,4,"Legutiano, Álava, Spain. A powerful bombing outside a civil guard, blamed on Basque separatist ETA group, killing one guard.[72]"
69,16 May ,9,93,"Downtown Colombo, Sri Lanka. A suicide bomb exploded near the Sri Lankan president residence, carried out by the LTTE .[73]"
70,18 May ,13,20,"Mardan, Pakistan. A bomb exploded a bakery shop near Pakistani Army site, which blamed on Taliban militants.[74]"
71,19 May ,0,0,"Getxo, Spain. At 00:50 CET, a bomb placed in a van exploded in front of the Real Club Marítimo in the neighborhood of Las Arenas – Areeta in Getxo, Biscay, usual meeting point of businessmen and politicians, causing no human losses.[75]"
72,20 May ,6,0,"Addis Ababa, Ethiopia. a bomb went off on minibus near Ethiopian Foreign Ministry, where blamed on Oromo Liberation Front.[76]"
73,22 May ,0,1,"Exeter, United Kingdom. See 2008 Exeter bombing"
74,26 May ,8,72+,"Colombo, Sri Lanka. A packed commuter train carrying 200 passenger on board which time bombing exploded at Dehiwela railroad station, carried out by the LTTE.[77]"
75,28 May ,3,5,"Negele Boran, Ethiopia. A bomb blast at Kidane Mihret and Shuferoch hotel, Islamic militants suspected.[78]"
76,29 May ,2,21,"Zamboanga, Philippines. Two people were killed and up to 21 injured in a bomb attack outside a Philippine Air Force base where US soldiers, training local troops in anti-terrorism warfare, maintain a small camp in Zamboanga City. The blast coincided with sporadic fighting between Muslim rebels and soldiers in nearby Basilan island and the damaged building also houses the headquarters of Zamboanga City Representative Maria Isabelle Climaco. Reports said the bomb, hidden in a bag, was apparently left outside the building where a crowd of passengers, mostly military dependents, were waiting for a C130 transport plane that would take them to Manila.[79] No group claimed responsibility for the attack though military officials are eyeing the possible involvement of the Moro Islamic Liberation Front.[80]"
77,31 May,0,0,"Navi Mumbai, India.  Police defused a small explosive at a movie theater screening Jodhaa Akbar, a controversial film found by ethnic Rajputs to be ""offensive"".[81][82]"
78,1 June ,0,2,"Zarautz, Spain. Following a warning call, at around 2:30 am early Sunday morning, a blast occurred outside the headquarters of a construction company, Construcciones Amenabar, in the town of Zarautz. There were no casualties, though two people suffered ear damage from the noise of the explosion.[83]"
79,2 June ,~8,~30,"Islamabad, Pakistan. A suicide car bombing blast occurred at around 1 pm local time outside of the Danish embassy. Nearby buildings also suffered damage. The attack is thought to be the work of fundamentalist terrorists.[84]"
80,4 June ,0,~18,"Colombo, Sri Lanka. A bomb blast targeted a commuter train as it sped towards the capital. The explosive had been left along the track and detonated at around 7:10 am as the last car passed. Government sources implicated the LTTE.[85]"
81,4 June ,0,7,"Thane, India. A bomb exploded in the parking lot of an auditorium hosting a play that parodied the Mahabharat. Two men, ages 50 and 34, admitted guilt to the attack and others on 20 February and 31 May. Although the men claimed membership in Hindutva groups, they stated that they acted alone without support.[81][82]"
82,6 June ,21,47,"Moratuwa suburb of Colombo, Sri Lanka. A roadside bomb blast targeted a crowded state-run commuter bus at about 7:35 am The government quickly placed blame upon LTTE, who had yet to claim responsibility. See 2008 Moratuwa bus bombing[86]"
83,6 June ,2,20,"Kandy district, Sri Lanka. The Sri Lankan government blamed LTTE militants for a bomb explosion that occurred aboard a commuter bus only a few hours after a similar attack near the capital. See 2008 Polgolla bus bombing[86]"
84,8 June ,0,0,"Spain A bomb detonated at the presses of El Correo near the port city of Bilbao at about 3 am damaging the printing facilities of the Basque newspaper as people worked inside, but no one was reported injured. While ETA have not yet laid claim to this attack, it is rumored to be the doing of ETA."
85,9 June ,12,,"Boumerdès Province, Algeria. Two explosions kill 13 in the town of Beni Amrane, Algeria. Islamic militants suspected.[87]"
86,15 June ,2,~12,"Rautahat District, Nepal. A group calling itself the Tarai Army claimed responsibility for an explosion in a crowded bus station in southern Nepal. The bomb had been hidden in a wheat sack.[88][89]"
87,15 June ,0,8,"Istanbul, Turkey. An explosion in a cafe in the Büyükçekmece district on the European side of the Bosporus was attributed to a bomb.[90]"
88,16 June ,12,40+,"Northern Province, Sri Lanka. Explosives in a motorcycle is detonated in front of a police station in Vavuniya, killing 12 members of police and injuring 40, including children.[91]"
89,17 June ,63+,75+,"Baghdad, Iraq. A minibus packed with explosives detonated near a marketplace in the Huriya district during the evening business rush. The predominantly Shiite crowd blamed Sunni extremists although the U.S. military believed that radical Shiite militants caused the attack in an attempt to reignite sectarian tensions or to target nearby coalition forces.[92][93]"
90,20 June ,6,4,"Gereshk, Helmand, Afghanistan. A suicide bomber attacked a military convoy as it passed by a market during the morning hours. The blast killed 5 civilians and 1 coalition member.[94]"
91,22 June ,15,40+,"Baquba, Diyala, Iraq. A female suicide bomber struck at a government outpost.[95]"
92,24 June ,0,10,"Muang district, Yala Province, Thailand. A bomb hidden in a bike exploded at a market around 7 am. Six civilians and four soldiers were injured. A remote control detonated the explosive.[96]"
93,26 June ,18,25,"Al-Karmah, Al Anbar Governorate, Iraq. A suicide bomber attacked a meeting of tribal sheikhs. U.S. troops, who were in attendance, were among the injured. It is believed that AQI was behind the attack.[97]"
94,26 June ,18,80+,"Mosul, Iraq.  A car bomb exploded in a busy market minutes after a previous explosion.[97]"
95,2 July ,3,50+,"Jerusalem, Israel. A driver of a bulldozer on the Jaffa Road between the Central Bus Station and the Mahane Yehuda market drove into cars and pedestrians as well as two public buses carrying some 50 passengers. Police shot and killed the driver[98][99]"
96,3 July ,0,0,"Palembang, Sumatra, Indonesia. Police arrested 12 militants who are accused of planning to bomb a cafe in Bukittinggi, a city popular among tourists. Several of the arrested have links to Jemaah Islamiyah.[100]"
97,4 July ,0,50+,"Minsk, Belarus.  A home-made bomb explodes in Belarus' capital at an outdoor Independence Day concert, injuring around 50 people. President Alexander Lukashenko was also attending the concert. No one has claimed responsibility yet, but government spokespersons blames the attack on ""hooligans"".[101]"
98,6 July ,11,~22,"Islamabad, Pakistan.  A suicide-bomber targeted a group of police officers near the Lal Masjid almost a year after a deadly siege and raid on the mosque.[102]"
99,7 July ,58,150+,"Kabul, Afghanistan.  A suicide-bomber drove an explosives-laden automobile into the front gates of the Indian embassy.[103]"
100,9 July ,3,3,"Istanbul, Turkey.  Four men, believed to be Turkish citizens, attacked the American consulate around 1100 local time.  Three of the four began shooting and were soon met with police fire.  The three gunmen, as well as three police officers, were killed in the exchange.  The fourth assailant, the driver, escaped the scene.  Injuries occurred to two other people.[104][105]"
101,9 July ,5,80,"Tripoli, Lebanon; To 9-11 July Tripoli, Liban-Nord, Lebanon, armed rival political factions engaged in armed and rocket attacks, killing five civilians and political affiliates and wounding over 85 civilians and political affiliates. No group claimed responsibility, but it was believed that the 14 March Coalition and the 8 March Coalition were responsible, and is related to the Bab al-Tabbaneh–Jabal Mohsen conflict.[106][107]"
102,15 July ,35,63,"Diyala, Iraq.  Two men detonated explosive-laden belts seconds apart in a crowd of Army recruits at the Saad military base.  The two bombers had disguised themselves as recruits.[108]"
103,20 July ,0,1,"Laredo and Noja, Spain.  ETA claimed responsibility for four bomb blasts in resort areas along the northern coast.[109]"
104,21 July ,2,13,"Kunming, Yunnan, China. Two bomb explosions occurred on board separate passenger buses during the early morning commute.  The first blast happened at about 7:00 am and the second came about an hour later.[110][111]"
105,22 July ,0,18+,"Jerusalem, Israel Almost three weeks to day of a bulldozer attack in the city, another tractor driver went on a rampage on the King David Street in the afternoon. The police reported that the perpetrator was shot dead, while at least 18 people were injured in the incident, one sustaining moderate to serious wounds.[112]"
106,24 July ,~8,~24,"Baqouba, Iraq. Iraqi police said at least eight people have been killed in a female suicide bombing against a checkpoint manned by US-allied Sunni guards northeast of Baghdad.[113]"
107,24 July ,3,~24,"Davao City, Philippines. A bomb exploded on board a Metro Shuttle Bus parked at a terminal while on its way to Davao City from Bansalan, killing 3 people and injuring 24 others.[114] The mobile phone-activated bomb was placed inside a bag and exploded 10 minutes after it reached the Digos City Overland Terminal. Four of the injured victims were taken to the Davao Medical Center in critical condition and a four-year-old boy was among those hit by shrapnel.[114] In response police and military checkpoints were established in and around Davao City."
108,25 July ,2,20,"Bangalore, India. A series of nine blasts kills 2 and injures 20 people.[115]"
109,25 July ,6,15+,"Gaza City. At least six people, including senior Hamas member, were killed after bomb exploded at major Gaza intersection; explosive device planted near Hamas police parking site.[116]"
110,26 July ,56,200,"Ahmedabad, India. A series of seventeen blasts killing 49 and injuring 160 people.[117]"
111,27 July ,0,6,"Godda,  Jharkhand, India.  At least six people were injured when a bomb exploded at a bus stand in Jharkhand's Godda district.[118]"
112,27 July ,~17,150+,"Istanbul, Turkey. Two bombs kill 17 people and wound at least 150 in Istanbul.[119]"
113,27 July ,2,7,"Knoxville, Tennessee, United States. Knoxville Unitarian Universalist church shooting, Jim David Adkisson kills 2 people and injures 7 in Knoxville, Tennessee."
114,28 July ,32+,102,"Baghdad, Iraq. Three female suicide bombers and a roadside bomb targeted Shi'ite pilgrims headed towards Kazimiyah.[120][121]"
115,28 July ,25,185,"Kirkuk, Iraq. A bomb explosion occurred at a large protest against a provincial elections law.  The US military initially believed the explosion to be a suicide attack. The majority of the victims were Kurds.[121]"
116,28 July,0,0,"Orio, Basque Country, Spain. The regional government claimed that ETA caused a bomb explosion at a road construction site near the town of Orio. No workers were present at the time so no injuries occurred.[122]"
117,31 July,0 (+2),0,"Kuruzú de Hierro Paraguay. On 31 July 2008, a band of five militants abducted farm owner Luis Alberto Lindstron; the incident took place in the zone of Kuruzú de Hierro. Two rebels were wounded after a firefight with security forces that took place as the kidnappers were withdrawing.[123]"
118,3 August ,0,25,"Tizi Ouzou, Kabylie, Algeria.  A suicide car bomber targeted the local police force.  The explosion injured 25 people, 4 of whom were police.  No one has claimed responsibility.[124]"
119,4 August ,16,16,"Sibi, Balochistan, Pakistan.  A bomb attached to a parked motorcycle exploded in the main bazaar.  The bomb was detonated by remote.  Three of the killed were said to be members of a tribe supporting the Islamabad government.[125]"
120,8 August ,21+,~70,"Tal Afar, Iraq.  A bomb exploded in a crowded vegetable market.[126]"
121,10 August ,0,10,"Bogotá, Colombia.  An explosion in the north of Colombia's capital Bogotá left ten people wounded. The police blame rebel group FARC for the attack.[127]"
122,13 August ,18+,45,"Tripoli, Lebanon.  A bomb, hidden in a briefcase, exploded at a crowded civilian bus stop at around 7:45 am.  Most of the dead were reported to be soldiers, who seemed to be the target of the attack.  A remote control detonated the explosive.  Initial suspicion fell upon Fatah al-Islam although political turmoil and sectarian strife could implicate any number of groups.[128][129]"
123,15 August ,7,50,"Ituango, Antioquia, Colombia. Seven people were killed and more than 50 wounded when a bomb detonated in a small town. FARC denies responsibility on the attack, blaming Colombian State.[130][131]"
124,17 August ,3,13,"Baku, Azerbaijan. A young man reportedly threw a grenade into the Abu Bakr mosque during evening prayers while as many as 200 worshiped. Three people were killed and 13 injured.[132]"
125,18 August ,12,22,"Khost, Afghanistan.  A suicide bomber drove a car towards the gates of an American military base.  The explosion killed no American military personnel, but did harm workers outside of the base.  The forces repelled a second attacker, who fled.  The attacks came on Afghanistan's Independence Day, which celebrates the end.[133]"
126,19 August ,32,35,"Dera Ismail Khan, Pakistan.  A suicide bomber struck outside of a hospital, where a large crowd Shiite mourners had gathered.[134]"
127,19 August ,43,45,"Issers, Boumerdès Province, Algeria.  A suicide bomber drove a vehicle into a large group of military recruits gathering for exams.  Although no one has claimed responsibility, such attacks are usually blamed upon Al-Qaeda Organization in the Islamic Maghreb.[135][136]"
128,19 August ,0,19,"Mersin, Turkey.  Investigators believe that an individual was attempting to conduct a suicide attack when he attempted to avoid a police checkpoint. The man detonated explosives after his car was stopped, and the explosion killed him and wounded 19 officers.  The PKK and the TAK both claimed responsibility for the attack.[137]"
129,20 August ,11+,31,"Bouira, Algeria. Two car bombs were detonated by remote control. The first explosion targeted the military and reportedly injured 4 soldiers. The second explosion, which occurred about a minute later next to a downtown hotel, killed 11 people and injured 27.  Most of the casualties from the second blast were civilians on board a passing bus.[138]"
130,21 August ,63,81,"Wah, Attock District, Pakistan. Twin suicide bombings kill 63 people and injure 81 people targeting Pakistan's main munitions factory, the Pakistan Ordnance Factories. The Pakistani Taliban claims responsibility in retaliation for Pakistan Army attacks in the War in North-West Pakistan.[139]"
131,23 August ,8,,"Swat, Pakistan. A suicide bomber drives and detonates a vehicle into a checkpoint, killing 8 policemen and injuring several others.[140]"
132,23 August ,0,19,"Izmir, Turkey. At about 7:45 am, a car bomb exploded in a residential area as vehicles carrying security personnel approached. The blast injured seven police, three soldiers and six civilians. The PKK and the TAK both claimed responsibility for the attack.[137]"
133,24 August ,30,42,"Abu Ghraib, Iraq. A suicide bomber detonates his explosives at the home of a tribal sheikh who celebrated the release of his son from US detention. The dinner was also attended by members of the Awakening movement.[141][142]"
134,26 August ,28,45,"Jalawla, Diyala Governorate, Iraq. 28 people were killed outside a police station by a suicide bomber.[143]"
135,30 August ,0,48,"Colombo, Sri Lanka. Nearly 50 people suffered injuries when a hidden bomb detonated in a commercial district.  The government blames LTTE operatives.[144]"
136,1 September ,4,26,"Cali, Colombia.  Four people were killed and around 26 more wounded by a car bomb in the Colombian city of Cali in one of the worst urban attacks this year. Police said they believed FARC guerrillas were responsible for the attack.[145]"
137,1 September ,7,34+,"Digos City, Mindanao, Philippines. A powerful explosion on board a passenger bus killed at least 7 and wounded around 34. Witnesses described the powerful blast nearly tearing off the roof of the bus as it sat in the terminal.[146] Investigators believe a woman left the explosive device on the bus[147] and connect the blast to al-Khobar, an extortionist group that had threatened the bus company the week before the attack and who has carried out similar attacks in the past few years. The group is believed to have loose ties to various insurgent groups, such as Abu Sayyaf and the New People's Army.[146]"
138,2 September ,7,7+,"Mosul, Iraq.  A suicide car bomber struck an army checkpoint in the city of Mosul in Nineveh province, killing at least 7 and injuring at least 7.[148]"
139,2 September ,6,4,"Khost, Afghanistan.  Six people, including two policemen, were killed in a roadside bomb attack and a Taliban ambush.[149]"
140,3 September ,6,24,"Addis Ababa, Ethiopia.  A bomb exploded in a bar, killing 6 and injuring many more.[150]"
141,6 September ,50+,80+,"Peshawar, Pakistan.  Two bombs exploded in the city of Peshawar. The first occurred when suicide bomber in a pickup truck, detonated near a paramilitary checkpoint, killing 16.[151] Two hours later, a suicide bomber struck a police post, killing 30 and injuring dozens.[152]"
142,6 September ,0,3,"Yangon, Myanmar. An explosion on a passenger bus in Yangon on 9 September wounded three people.[153]"
143,9 September ,0,0,"United Kingdom The IMC blamed the RIRA after the discovery of an under vehicle explosive device under the car of a civilian in Lisburn, County Antrim. It is believed the RIRA had mistaken the civilian for a member of the PSNI."
144,12 September ,28,40,"Salah ad Din, Iraq. 28 people killed and 40 injured in a suicide car bombing in Dujail. The attack happened around 1800 (1500 GMT), when a suicide bomber drove and detonated a vehicle into a police station.[154]"
145,13 September ,30,90,"Delhi, India. A series of 5 bombs exploded in Delhi, killing 30 and injuring 90.[155]"
146,14 September ,0,0,"Timika, Papua, Indonesia.  A bomb exploded near the Moses Kilangin airport.[156]  This was the third such explosion in the past week.  All incidents have occurred on roads leading towards the Grasberg mine run by Freeport-McMoRan Copper &amp; Gold Inc.[157]  The Free Papua Movement claimed responsibility and demanded the mine be closed.[158]"
147,15 September ,22,32,"Diyala, Iraq. A female suicide bomber detonates herself at a party, killing 22 and injuring 32.[159]"
148,15 September,8,132,"Morelia, Michoacán, Mexico. A series of grenades are detonated in crowds gathered to celebrate Independence Day.[160][161]"
149,15 September ,0,0,"Dublin, Ireland. A bomb was left outside of the downtown offices of Shell E&amp;P Ireland.  The explosive, described as ""home-made, crude and highly dangerous"", was discovered at around 10:30 pm and was destroyed in a controlled explosion about 50 minutes later.[162]  Protesters have recently been demonstrating against the Corrib gas pipeline.  The Shell to Sea group denied any involvement.[163]"
150,15 September,0,0,"United Kingdom The IMC blamed the RIRA for the discovery of a 100 lb bomb in Jonesborough, County Armagh."
151,15 September,0,0,"Bogotá, and Huila, Colombia. Huila witnesses say two men launched a mortar to the Huila water company and then took off on a motorcycle. A bomb exploded on the corner of Caracas avenue and Calle 24 in Bogotá. According to El Espectador, the bomb was hidden in a plastic bag. Authorities were not able to say who were held responsible for the attack.[164]"
152,17 September,16+,16+,"San‘a’, Yemen. A car bomb exploded outside the U.S. Embassy and was ambushed by militants.[165]  The attackers, reportedly dressed as policemen, also exchanged rocket and gun fire.  A group calling itself Islamic Jihad in Yemen claimed responsibility.[166]"
153,20 September,60+,250+,"Islamabad, Pakistan. The Marriott Hotel is attacked by a massive suicide car bomb, killing over 60 and injuring 250.[167]  The blast caused a natural gas leak fire, which destroyed the hotel further. Hours before the blast, President Asif Ali Zardari addressed a joint session of Parliament and promised to root out terrorism.[168]"
154,21 September,1,12,"Basque Country, Spain. Three car bombs detonate in a 24-hour period killing one (a military personnel) and injuring 12. The ETA is confirmed by authorities as responsible.[169]"
155,22 September,0,~17,"Jerusalem, Israel. At least 19 people were wounded when a Palestinian drove his car into a crowd of Israel Defense Forces soldiers at a busy intersection in the capital.[170] The driver was shot and killed at the scene by an Israeli soldier.[171]"
