,Date,Dead,Injured,Location and description
10,January 10    ,2,2,"Mahmudiya, Iraq: A bomb exploded at a fuel station in Mahmudiya, killing two people and wounding two others. Attacks on gas stations are frequent in Iraq, as militants attempt to disrupt one of the country's most profitable industries. Attacks on petrol stations are also frequent because it is common for there to be long lines of patrons.[8]"
11,January 13    ,2,3,"Kirkuk, Iraq: Gunmen opened fire on a group of engineers and construction workers in Kirkuk, killing two and wounding three others. Attacks on those who participate in development projects are frequent in Iraq.[9]"
12,January 14    ,1,6,"Baghdad, Iraq: A roadside bomb targeting police in Baghdad killed a civilian and wounded six others. Attacks on police are frequent in Iraq. The Islamic Army in Iraq claimed responsibility for targeting police with explosives in the al-Jihad district of the capital on this day. The group stated that everyone in the police vehicle was killed.[10]"
13,January 14    ,4,5,"Nowshera, Pakistan: Four people were reported killed and five others injured when a bomb exploded at the house of a prayer leader in an Afghan refugee camp in Nowshera on January 14. The prayer leader, Maulvi Masoodullah, was arrested after the attack although it is unclear who is responsible for the bombing. Masoodullah's brother was among those who died, along with house guests. Nowshera is located in the North West Frontier Province (NWFP).[10]"
14,January 15    ,0,1,"Yangon, Myanmar: Police and eyewitnesses report that a small bomb exploded at the Bahan Post Office near downtown Yangon on Monday in the early afternoon, seriously injuring one postal worker. The post office sustained little damage, but the explosion caused panic in the building and surrounding area. On Thursday, the Vigorous Burmese Student Warriors—an exiled activist group committed to the overthrow of the military junta that rules Burma—issued a statement taking responsibility for the post office attack and warning of more attacks in the future. The group also claimed to have sent parcel bombs to the Chinese embassy and the headquarters of the Union Solidarity Development Association—a political organization linked to the junta.[11]"
15,January 15    ,0,2,"Narathiwat, Thailand: On Monday morning, two police officers were injured in a bomb attack against a railway in the Rangae district of Narathiwat. Police believe that Islamic insurgents were responsible for the attack. Police were investigating reports of a burning tire on the track when the bomb exploded about 100 meters from where they stood. The 15 kg bomb damaged the train track and caused a suspension of service between Tanyongmas and Sungai Kolok. The bomb was remotely detonated by mobile phone. Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.[11]"
16,January 16    ,70,170,"Baghdad, Iraq: Three explosive devices, including one detonated by a suicide bomber, killed at least seventy students and injured as many as 170 others at Mustansiriya University in Baghdad. The attack occurred as students, the majority women, were leaving campus for the day. The first bomb exploded near the University's entrance and the second close to another exit. The suicide bomber was discovered by guards and detonated his device prematurely, killing himself but wounding only two people. Attacks on educational institutions are frequent in Iraq, as militants attempt to disrupt the country's reconstruction. This attack, however, may have also had sectarian motivations. Mustansiriya University's students are predominantly Shiite, many from the nearby neighborhood of Sadr City. Students report that the University has come under greater influence of Shiite cleric Moqtada al-Sadr, with some reporting deputies enforcing a strict Islamic dress code and monitoring of students' personal lives. These changes would make the campus a prime target for Sunni militants. The attack also occurred the day after Barzan Ibrahim Hasan and Awad Hamed Bandar, two high-level Sunni officials under Saddam Hussein, were executed for their involvement in the 1982 massacre of 148 Shiite men and boys in Dujail. Attacks were especially violent the day Hussein was executed in late December. It is significant to note that On 4 December 2006 Ansar al-Sunnah issued a video calling on Sunni students and professors to suspend all academic activities at Baghdad universities. The video denounced killings by death squads and asked those of all sects to abide by the decision. There is no indication that the group was involved in this attack, however.[12]"
17,January 16    ,6,11,"Baghdad, Iraq: A bomb exploded inside a minibus as it drove through Sadr City, a Shiite area of Baghdad, killing six people and wounding eleven others. Attacks on transportation networks are frequent in Iraq, however this attack likely also had sectarian motivations.[12]"
18,January 17    ,8 (+1),43,"Kirkuk, Iraq: A suicide car bomber was shot and killed by police as he attempted to ram his vehicle into a checkpoint outside a Kirkuk police station, however his explosives detonated, killing eight additional people and wounding forty-three others. Four policemen were killed and another four were injured. The blast resulted in the collapse of part of the police station, which caused the majority of the casualties. Attacks on police are frequent in Iraq.[13]"
19,January 17    ,2,12,"Dispur, Assam, India: A bomb planted in a vegetable carton by suspected members of the United Liberation Front of Assam (ULFA) exploded in a market in Dispur on January 17. Two people, including a child, were killed and 12 people were injured in the attack.[13]"
20,January 17    ,17 (+1),33,"Baghdad, Iraq: A suicide car bomber detonated his explosives at a market in the predominantly Shiite Sadr City neighborhood of Baghdad, killing seventeen people and wounding thirty-three others. The attack occurred at the Mereidi market, one of the area's most popular commercial districts. Attacks on crowded, public areas, particularly markets, are frequent in Iraq and often have sectarian motivations.[13]"
21,January 17    ,0,2,"Narathiwat, Thailand: Police report that Islamic insurgents detonated a bomb in front of a local religious school on Wednesday just before noon in the Joh I Rong district of Narathiwat. Two soldiers who were guarding the school, known as an Islammiyah, suffered serious injuries from the blast. No civilian casualties were reported. Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.[13]"
22,January 18    ,0,2,"Nangarhar, Afghanistan: Kama district chief, Mohammad Ali, was injured when a bomb exploded on his vehicle in Nangarhar on January 18. Suspected Taliban gunmen also opened fire on the vehicle. Ali's driver was also injured.[14]"
23,January 18    ,4,10,"Baghdad, Iraq: A car bomb exploded near a police patrol in central Baghdad, killing four people and wounding ten others. Police were reported among the casualties. Attacks on police are frequent in Iraq. The Islamic State of Iraq claimed responsibility for detonating a motorcycle bomb and explosives hidden inside a kiosk in central Baghdad on this day. The group stated that the attack killed more than eight police commandoes and wounded many others.[14]"
24,January 18    ,1,1,"Narathiwat, Thailand: Police report that two Muslim civilians—a father and son—were attacked by Islamic insurgents in a drive-by shooting on Thursday morning in the Chanae district of Narathiwat. The men were ambushed while en route to conduct a real estate transaction. The father died at the scene while the son was critically injured from the gunshot wounds he sustained. Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.[14]"
25,January 22,131,186,"Haraj: market in Baghdad, Khalis market near Baquba, west Baghdad, south Baghdad, Baghdad, Iraq: See 22 January 2007 Baghdad bombings.[15]"
26,January 26,1 (+1),5,"Marriott Hotel in Islamabad, Pakistan: A suicide bomber kills himself and a security guard, who is trying to enter.[16]"
27,January 27,14 (+1),30,"Peshawar, Pakistan: A suicide bombing occurs before a Shia religious procession is started.[17]"
28,January 29,3 (+1),0,"Eilat, Israel: Islamic Jihad and Al Aqsa Martyrs' Brigades claim joint responsibility for a suicide bombing.[18]"
29,January 29,2 (+1),7,January 2007 Dera Ismail Khan suicide bombing - 2 people were killed while 7 wounded when suicide bomber bew himself up in Dera Ismail Khan.[19]
30,February 3 ,135,305,"Baghdad, Iraq: al-Sadriya district market: Truck bombing. See 3 February 2007 Baghdad market bombing.[20]"
31,February 3 ,23,20,"2007 Bagram Air Base bombing, Afghanistan"
32,February 17,15,24,"Quetta, Pakistan. A suicide bomber detonates a bomb in a courtroom.[21]"
33,February 19,68,49,"India: Samjhauta Express, a train headed toward Lahore an hour after it leaves New Delhi; two bombs explode. See 2007 Samjhauta Express bombings.[22][23]"
34,March 1,0,10,"Neiva, Colombia: Ten injured in a car bomb blast in Neiva, capital of Huila; rebel group FARC is believed responsible. The action is suspected to be an assassination attempt on Neiva's mayor.[24]"
35,March 3,5,0,"Neiva, Colombia: A bomb kills four police officers and one civilian in the city of Neiva, as they attempt to deactivate it.[24]"
36,March 5,2,0,"Afghanistan: The Taliban kidnap Italian journalist Daniele Mastrogiacomo whilst beheading his driver. Mastrogiacomo was released March 19 after Afghan President Hamid Karzai agreed to free five Taliban prisoners. His translator was left behind. On April 8, an Afghan government official confirmed that the translator was killed.[25]"
37,March 6,114,147,"Hilla, Iraq: Two suicide bombers kill 114 Shiite pilgrims in Hilla, Iraq.[26]"
38,March 16,16,16,"Buenaventura, Colombia: A bomb kills 16 and injures 16 in Buenaventura. Authorities blame FARC.[27]"
39,March 27,152,347,"Tal Afar, Iraq: Two truck bombs kill 152 people and injure 347 in Tal Afar, Iraq. See 2007 Tal Afar bombings.[28]"
40,March 28,0,10,Colombia Buenaventura: A bomb injures ten in a grocery store in Buenaventura.[29]
41,April 8,1,14 kidnapped,"Afghanistan: In the two weeks prior to April 8, at least thirteen Afghans and two French aid workers are kidnapped. Rebels demand further releases of their jailed associates in exchange for some of the hostages.[30]"
42,April 9,1,30,"Cali, Colombia: A bomb used against a police headquarters in Cali kills one and injures 30. FARC are blamed.[31]"
43,April 10,1 (+3),23,"Casablanca, Morocco: Three suicide bombers kill one policeman and injure 23 people in Casablanca, Morocco.[32]"
44,April 11,33,222,"Algiers, Algeria: Two suicide car bombs kill 33 people and injure 222 in Algiers, Algeria; Al-Qaeda takes responsibility.[33]"
45,April 12,8 (+1),20,"Baghdad, Iraq: One suicide bomber kills eight people and injures 20 in the cafeteria of the Iraqi Parliament, in the Green Zone in Baghdad.[34]"
46,April 14,65 (+1),100,"Karbala, Iraq: Suicide car bomb kills 65 people and injure 100 in Karbala, Iraq.[35]"
47,April 14,1,3,"Casablanca, Morocco: Two suicide bombers explode at an internet cafe, near the American Language Center, in Casablanca, Morocco; one person is injured. On October 17, 2008 a Moroccan court sentenced more than 40 people to up to 30 years in prison over the suicide bombing. The state news agency, MAP, said those accused had been planning a string of attacks in Casablanca using home-made explosives. Authorities said, the plot was uncovered by the investigation following bombing.[36][37]"
48,April 18,200,251,"Baghdad, Iraq: A series of explosions kills 200 people and injures 251 in Baghdad, Iraq. See 18 April 2007 Baghdad bombings.[38]"
49,April 18,3,0,"Malatya, Turkey: In Malatya, Turkey, hometown of Mehmet Ali Agca, three Christian men—one of them a 45-year-old German father of three children, Tilman Geske—are brutally murdered by at least four young men who confess to the slayings. The assassins torture their victims for hours before cutting their throats; an autopsy of the German victim finds 156 stab wounds. Hurriyet newspaper quotes a suspect: ""Let this be a lesson to enemies of our religion.""[39][40][41]"
50,April 20,1,0,"Mogadishu, Somalia: A suicide car bomber attacked an Ethiopian army base in the capital Mogadishu, Somalia.[42]"
51,April 25,11 (+1),Unknown,"Mogadishu, Somalia: A suicide bomber kills 11 during an attack on a hotel south of Mogadishu, Somalia.[43]"
52,April 28,28,35,"Pakistan: Interior minister Aftab Ahmad Sherpao of Pakistan suffers minor injuries, 28 are killed, and 35 are injured (ten critically) in a suicide bombing after the minister finishes speaking.[44]"
53,April 28,63,70,"Karbala, Iraq: A car bomb kills 63 people and injures 70 in Karbala, Iraq.[45]"
54,May 3,1,0,"Havana, Cuba:  Two renegade soldiers attempted to hijack a plane leaving Havana's José Martí International Airport. During the hijacking Army Lt. Col. Victor Ibo Acuna Velazquez, whom they had previously kidnapped, was killed. There were no other casualties and both assailants were captured.[46]"
55,May 6,35,80,"Baghdad, Iraq: A car bomb kills 35 people and injures 80 in Baghdad, Iraq.[47]"
56,May 6,1,8,"Rafah: In a bomb attack by Muslim extremists on an UN-run elementary school in the southern Gaza refugee camp of Rafah, one person, a bodyguard of a local Fatah politician, is killed; eight others, including two children, are injured. The attack happens during a sports festival that earlier had been denounced as un-Islamic by the extremists.[48]"
57,May 12,1,14,"Izmir, Turkey: A bomb explosion on a market kills one person and injures 14 others, one day before a planned march of secular Turks to demonstrate against the Islamic-rooted government.[49]"
58,May 13,50 (+1),115,"Makhmur, Iraq: A suicide truck bomb kills 50 people and injures 115.[50]"
59,May 15,24,25,"Peshawar, Pakistan: A bomb explodes in a restaurant in Pakistan's northwest city of Peshawar; up to 24 people are killed.[51]"
60,May 18,1,37,"Cotabato City, Philippines: Five-year-old Adril Watangao is killed and 37 other people are injured when a bomb, probably laid by Islamic extremists, explodes in the Weena bus terminal in Cotabato City, in the Mindanao region of southern Philippines.[52]"
61,May 18,16,100,"Hyderabad, India: Attack on Mecca Masjid. For details, see 18 May 2007 Mecca Masjid bombing.[53]"
62,May 20,6,50,"Juliaca, Peru: Six people have been killed and about 50 injured in a blast at a market in the city of Juliaca in southern Peru.[54]"
63,May 22,9 (+1),121,"Ankara, Turkey: A suicide bombing rips through an Ankara shopping district Tuesday, killing nine people and wounding dozens more. See 2007 Ankara bombing.[55]"
64,June 3,7,20,"Mogadishu, Somalia: A car bomb suicide attack on the Prime Minister's house in Mogadishu kills six guards and injures 20, while PM Ali Mohamed Gedi survives his third assassination attempt unhurt.[56]"
65,June 4,1,0,Somalia Another suicide car bomb was detonated near an Ethiopian Army Base.[57]
66,June 8,1,28,"Yala, Thailand: An explosion occurs outside a tea shop in the city of Yala and kills one woman and wounds 28 other people.[58]"
67,June 8,2,5,"Hub, Pakistan: A bomb explodes on a bus as it is traveling through the town of Hub, in Balochistan province. Two passengers die and five suffer injuries.[59]"
68,June 8,0,10,"Cotabato, Philippines: An improvised bomb explodes aboard a bus in a remote area of Cotabato; ten people are injured.[60]"
69,June 10,0,14,"Istanbul, Turkey: A bomb explodes outside a clothing store in Istanbul and injures 14 people.[61]"
70,June 11,1,37,"Nairobi, Kenya: A bomb explodes in a business district. The blast occurs outside the Ambassador Hotel, just a few blocks from the U.S. Embassy—scene of a devastating bomb attack in 1998—killing one person and injuring 37 others.[62]"
71,June 14,10,0,"Beirut, Lebanon: A car bomb kills ten people. Among the dead is the MP Walid Eido.[63]"
72,June 19,75,204,Iraq A truck bomb blast on a square near the al-Khilani mosque kills at least 75 and wounds 204.[citation needed]
73,June 24,6,2,"Lebanon A suicide car bomb targets and kills six members of Unifil, near the border with Israel; two others are also injured. The casualties are Spanish and Colombian nationals.[64]"
74,June 29,4,10,Ivory Coast Four people are dead and ten are injured by three launched rockets and fired AK-47s in an assassination attempt on prime minister Guillaume Soro.[65]
75,"June 29, June 30",0 (+1),5,"United Kingdom: 2007 Glasgow International Airport attack, 2007 London car bombs, 2007 UK terrorist incidents. Car bomb plot, suspected Al-Qaeda. At Glasgow-International Airport, a car rams into terminal one, causing minor injuries to five people and setting off a blaze. An explosive device catches fire instead of detonating. In London's West End, an attempt to set off two car bombs by suspected cell-phone triggers fails. One car is towed before the device is discovered in an underground car park. Police link two the incidents and find suicide notes on two suspects in the London incident.[66] Eight men are arrested, one Glasgow suspect is critically burned. One of the five men could be an associate of Dhiren Bharot, a high-level Al-Qaeda operative. Authorities say the London bombs could have caused ""significant loss of life.""[67][68] Police link the two incidents to the same two people.[69]"
76,July 2,10,12,"Marib, Yemen: Eight Spanish tourists and two Yemenis are killed and another twelve are wounded in a suicide bombing attack at the Queen of Sheba temple in Marib.[70]"
77,July 19,2,21 kidnapped,"Afghanistan: The Taliban kidnap 23 South Korean church workers, killing two execution-style and dumping their bloodied bodies by the roadside. Two of the female hostages report being repeatedly raped. On August 30, after negotiations between the parties, all the hostages are released. An Afghan official involved in the negotiations tells ABC News that South Korea paid the Taliban $950,000 (or $50,000 a head) to secure their release, a charge that was denied by South Korea.[71]  However, Seoul has confirmed that it negotiated the withdrawal of its 200 noncombatant troops from Afghanistan by the end of 2007 in exchange for the release of the hostages. The South Korean government also agreed to prevent future missionaries from entering the country.[72]"
78,July 21,150+,230+,"Pakistan Week ending July 21: More than one hundred and fifty are killed in various incidents in retaliation for a Pakistani Army assault on the Red Mosque. The attacks are organized by Ayman Al-Zawahiri, according to Pakistani and Taliban officials interviewed by Newsweek magazine.[73]"
79,August 14,0,60,"Russia: A Moscow–St. Petersburg train is derailed by an explosion halfway between the two cities on the country's busiest rail route, leaving 60 injured, 30 of them hospitalized.[74]"
80,August 14,796,"1,562",Iraq The 2007 Yazidi communities bombings in northern Iraq kills nearly 800; this the Iraq War's most deadly car bomb attack during the period of major American combat operations. It was also the second deadliest act of terrorism in history behind the September 11 attacks in the United States.
81,August 25,44,54,"India: Hyderabad bombings. Twin bombings kill at least 44 and injure 54 in Hyderabad. Two bombs are defused and 19 others are found unexploded. Y. S. Rajasekhara Reddy, chief minister of Andhra Pradesh state, blames Islamic militants with ties to Pakistan or Bangladesh, saying that the extremists want to foment tension between India's Hindus and Muslims. Both Bangladesh and Pakistan deny the accusations.[citation needed]"
82,September 4,21,74,"Rawalpindi, Pakistan: Two bomb blasts, one on a bus carrying government employees, kill at least 21 people and wound 74.[75]"
83,September 4,0,0,"Germany: Three men are arrested and more are being sought on suspicion of planning attacks (potentially much larger than the London or Madrid bombings) on the Frankfurt International Airport, the U.S. military base in Ramstein, and pubs and schools frequented by Americans. The German Defense minister says, ""There was an imminent threat."" Two of the suspects are said to be connected to a German cell of Islamic Jihad with likely Al Qaeda ties. Two others are Muslim converts and have German citizenship, while the third is Pakistani.[76]  See 2007 bomb plot in Germany.[77]"
84,September 4,0,0,"Copenhagen, Denmark: Eight men with alleged links to leading senior Al Qaeda terrorists are arrested, the country's intelligence service said, claiming to have thwarted a bomb plot. The arrests occur without incident in raids on eleven locations in and around Copenhagen. The suspects are of Afghan, Pakistani, Somali, and Turkish origin.[78]"
85,September 6,0,0,Algeria A bombing targets President Abdelaziz Bouteflika's motorcade.[79]
86,September 29,0,12,"Malé, Maldives: A bomb explodes in the Maldivian capital, injuring twelve foreign tourists.[80]"
87,October 1,15,22,"Bannu, Pakistan: In the town of Bannu, in northwestern Pakistan, a male suicide bomber disguised as a woman and wearing a burqa sets off a blast that kills at least 15 people and injures 22 others.[81]"
88,October 2,13,0,"Kabul, Afghanistan: A suicide bomber wearing a pakul and a chador blows up a police bus, killing 13 officers and civilians. This occurs on the same day that a U.N. report finds that while 76% of all suicide bombings during 2007 in the country have targeted international and Afghan security forces, 143 civilians were killed by those bombs through August.[82]"
89,October 3,0,1,"Baghdad, Iraq: The Polish ambassador to Iraq, General Edward Pietrzyk, is injured in an assassination attempt in Baghdad. His convoy is hit by three bombs and is then fired upon. The diplomat sustains a leg wound and suffers burns in the attack and is evacuated from the scene via a Blackwater helicopter. The attacks kill three in his entourage and two Iraqi civilians and wound eleven Iraqi civilians.[83]"
90,October 11,3 (+1),0,"Baidoa, Somalia: A suicide bomber kills three Ethiopian soldiers near a base in Baidoa where the Prime Minister was visiting.[84]"
91,October 11,3,30,India: Explosives kept in a tiffin box at a Sufi shrine by Hindutva Terrorists resulted in the Ajmer sharif dargah blast while devotees were breaking fast during Ramadan. The site of the blasts was close to the Rajasthan state Chief Minister's Iftar Party.[85]
92,October 14,0 (+1),2,"Amsterdam, Netherlands: In a suicide attack on a police station of the Amsterdam district Slotervaart, Bilal Bajaka, a 22-year-old Amsterdammer of Moroccan origin, severely injures two Dutch police officers by stabbing them eight times before he is shot dead by an injured policewoman. Bajaka was in contact with the Hofstad terrorist group and had been visited by Mohammed Bouyeri, the murderer of Theo van Gogh (film director). According to media reports, Bajaka's brother Abdullah was investigated in 2005 for planning a terrorist attack on an El-Al Boeing at Schiphol airport. On the day after Bajaka's death, a group of youths throw stones at a Slotervaart police station and set cars on fire.[83][86][87][88][89][90]"
93,October 14,6,20,"Ludhiana, India: A bomb explodes in the Shingar Cinema in Ludhiana, killing at least six people and wounding 20, police say.[91]"
94,October 18,136 (+2),387,"Karachi, Pakistan: Twin suicide bombings occur in Karachi near a truck carrying former Prime Minister Benazir Bhutto through a crowded street of supporters eight hours after her return from exile, despite 20,000 security officers having been assigned to protect her. At least 136 are killed and 387 are wounded; Bhutto escapes unharmed. The Taliban or Al Qaeda are suspected.[92][93]"
95,October 21,12,16,"Hakkâri Province, Turkey: PKK stages an attack on the Turkish outpost in Hakkari. The attack wounds 16 and kills 12 Turkish soldiers carried out of northern Iraq. Also, eight soldiers are kidnapped.[94][95]"
96,October 26,0,2,"New York City, United States: A pair of improvised explosive devices are thrown at the Mexican Consulate in New York City. The fake grenades were filled with black powder and detonated by fuses, causing very minor damage. Police investigate the connection between this and a similar attack against the British Consulate in New York in 2005.[96]"
97,October 31,8,50,"Tolyatti, Russia: Eight people died and over 50 were injured on Wednesday morning in a suspected terrorist blast on a bus in central Tolyatti.[97][98]"
98,November 6,0,1,"Port-au-Prince, Haiti Unidentified gunmen fired automatic weapons at a TV and radio station in Port-au-Prince, Haiti. One bystander was injured. No one claimed responsibility for the attack.[99]"
99,November 6,80,Unknown,"Afghanistan: A bomb exploded outside a sugar factory in the northern part of the country, killing at least 80 people, including members of the Afghan parliament, according to officials.[100]"
100,November 13,2,9,"Philippines An explosion in the Philippine House of Representatives kills two people, including a congressman, and wounds nine others.[101]"
101,November 23,15,80,"Uttar Pradesh, India: Uttar Pradesh serial blasts. Near-simultaneous blasts triggered by militants in court premises in Varanasi, Faizabad, and the state capital kill 15 people and injure more than 80.[102]"
102,November 23,5,13,"Russia A bomb goes off on a bus that is traveling from Vladikavkaz, in the Russian Republic of North Ossetia, to the neighboring city of Pyatigorsk; five people are killed and another 13 are injured.[103]"
103,December 1,2,0,"Capbreton, France: Three ETA gunmen kill one Spanish civil guard and mortally wounded another (who died 4 days later).[104]"
104,December 6,1,Several,"Paris, France: A parcel bomb explodes and kills one, seriously injures another, and injures several other people.[105]"
105,December 11,37,177,"Algiers, Algeria: Bombings in Algiers kill 37 or more and injure 177.[106]"
106,December 12,2,Dozens,"Baabda, Beirut, Lebanon: A car bomb kills Brigadier General Francois al-Hajj (a top candidate to head Lebanon's military) and his driver, and injures dozens more. The bombing occurs in front of the municipal building in Baabda, a Christian suburb of Beirut.[107]"
107,December 12,40,125,"Amarah, Iraq: Three car bombs detonate in rapid succession, killing at least 40 and wounding 125 in the Shi'ite city of Amarah. Iraqi State television reports that many of the casualties involve women and children.[108]"
108,December 21,50,100,"Sherpao, Pakistan: A mosque suicide bombing kills at least 50, targeting Aftab Khan Sherpao, the Interior Minister of Pakistan.[109]"
109,December 24,4,1,"Aleg, Mauritania: Four French tourists are gunned down; the family's father survives, but with serious injuries. Mauritanian police say two of the three suspects are affiliated with a salafist group close to Al-Qaeda.[110][111]"
110,December 27,24 (+1),46,"Rawalpindi, Pakistan: Pakistani opposition leader Benazir Bhutto is assassinated by an attacker who shoots her after a campaign rally in Rawalpindi and then blows himself up; at least 20 are known dead. A Baitullah Mehsud Islamic Terrorism leader or elements within the Pervez Musharraf government are suspected.[112][113][114] See Benazir Bhutto assassination."
